"","MMRS12272136ST-27-0-0","MMRS14379078ST-27-0-0","MMRS14602194ST-27-0-0","MMRS15137911ST-27-0-0","MMRS16644320ST-27-0-0","MMRS18295921ST-27-0-0","MMRS24340226ST-27-0-0","MMRS25641480ST-27-0-0","MMRS31306426ST-27-0-0","MMRS34525504ST-27-0-0","MMRS41266697ST-27-0-0","MMRS41711735ST-27-0-0","MMRS42780924ST-27-0-0","MMRS43563715ST-27-0-0","MMRS43939546ST-27-0-0","MMRS44197125ST-27-0-0","MMRS44203591ST-27-0-0","MMRS44587603ST-27-0-0","MMRS47662059ST-27-0-0","MMRS47685461ST-27-0-0","MMRS51410669ST-27-0-0","MMRS51728985ST-27-0-0","MMRS54316675ST-27-0-0","MMRS55294627ST-27-0-0","MMRS59699117ST-27-0-0","MMRS62376181ST-27-0-0","MMRS64281211ST-27-0-0","MMRS65205033ST-27-0-0","MMRS65945127ST-27-0-0","MMRS67247116ST-27-0-0","MMRS68910755ST-27-0-0","MMRS71762412ST-27-0-0","MMRS72802364ST-27-0-0","MMRS72980899ST-27-0-0","MMRS77018926ST-27-0-0","MMRS77321055ST-27-0-0","MMRS77487595ST-27-0-0","MMRS78791111ST-27-0-0","MMRS80093644ST-27-0-0","MMRS81194191ST-27-0-0","MMRS81671217ST-27-0-0","MMRS84954772ST-27-0-0","MMRS85382779ST-27-0-0","MMRS86178473ST-27-0-0","MMRS86958796ST-27-0-0","MMRS90191266ST-27-0-0","MMRS92544445ST-27-0-0","MMRS93508324ST-27-0-0","MMRS96422329ST-27-0-0","MMRS97052561ST-27-0-0","MMRS97327636ST-27-0-0","MMRS99045180ST-27-0-0"
"Anaerostipes hadrus",1.55063,4.39614,0.11724,0.36577,1.6837,0.56192,2.20471,0,0.1554,0.04097,0,0.07339,0.4732,0.68452,4.84926,0.28976,1.3585,0.15489,0.10696,0.00439,0.34901,0,0.07755,0.35273,0.13017,1.33277,0.19151,0.47937,0,0.37916,0.0916,0.08504,1.07133,0,0.02213,1.66026,1.61397,0.01205,0.43852,0.88076,0.37202,0.23517,0.1772,0.53539,1.35469,2.65582,0,0.68209,0.20369,0.14704,0,0.94883
"Eubacterium sp. CAG:180",0,0,8.55178,0.00436,5.27744,7.20556,0,0,0,1.00737,0.00164,0,0,6.68864,0,2.78396,0,7.94881,0,0,0.00035,0.02217,0.40885,0.00068,0,0,0,0.09779,0,0,0,0,0,0,0.00685,0,0.03873,0,0.00291,0,0,4.37295,0.01345,14.38096,0.00266,0.00454,7.29947,0,5.392,0,11.66026,0
"Phocaeicola vulgatus",21.40131,24.55814,11.14532,12.79265,9.58193,8.16956,0.02747,1.92158,19.93392,8.24933,19.98759,14.0111,12.71744,7.85334,9.01357,5.1117,37.80827,2.85332,18.01024,37.02321,3.37755,0.14333,2.73226,17.50387,24.75637,20.25728,18.14927,5.16235,0.01507,8.61538,11.11133,7.31345,21.8763,15.14421,0.07464,0.00812,2.60706,6.73342,5.09726,10.13145,1.38826,13.02572,11.70686,11.88757,18.18759,6.89932,26.09059,15.26598,14.75848,0.00806,0.00677,0.00413
"Ruminococcus bicirculans",0,0.65271,0,0,2.7017,0.6092,0,0.48126,0.00164,0.82603,0,0,0.07203,0,3.39653,1.49248,0.00815,0.78113,0,0,0,0,2.99026,0,0,0,0,1.88041,0.61965,0,0,0,0.00634,0.40776,0,7.19781,0.06319,0,0.00706,0,0.12857,1.85665,2.36097,3.42941,1.26773,0,0.39611,0.73892,2.10441,1.07418,0.11752,3.96488
"Bacteroides caccae",1.91158,0,1.11881,0.00191,0.70468,0.11439,9.21646,0.92572,1.07387,0.01023,0,1.87358,1.53544,0.7743,3.29477,28.79218,0.01335,0.03455,1.50564,0.00159,0.96745,0,0.71376,2.31872,12.68376,0.00014,1.01307,4.65243,0,0.42988,1.84328,0.73796,0,1.20123,0,0,1.02197,0.9174,6.61018,0.1565,1.41161,2.36976,2.40058,0,0.03134,0.84756,0,3.31472,0,1.89959,0,0
"Barnesiella intestinihominis",0.57809,0,0.03233,0,0,1.14003,0.00052,3.94747,5.34044,0.03291,0.54154,3.55492,0.23843,2.40252,0.02701,2.08593,0.06542,0.57418,2.78592,0,2.03567,0,0.59126,0,0,1.30344,0,0.15299,0,0.62202,3.6058,1.80926,1.12855,0,3.05315,0,1.77519,0,0.002,2.85024,0.53376,0.09074,1.77241,0.00021,2.60898,1.99016,2.44255,0.10035,0,0,0,0
"Paraprevotella xylaniphila",0,0,0,0,0,0.3996,0,0,0.32127,0.21795,0,0,0,0,0,0,0.0458,0.16629,0.59087,0,0.15319,0,0.33402,0,0,0,0,0,0,0,0,0,0,0.15075,0.09985,0,0.19051,0.72351,0.00113,0.34139,0.19467,0.15302,0.03662,0,0.01478,0,0,0.42455,0,0,0,0
"Clostridium sp. CAG:253",0,0,0.21514,0,0,0,0,0,0,0.01042,0,0,0,0.05925,0,0,0,0,0,0,0.01926,0,0.03452,0,0,0,0,0.18615,0,0,0,0,0,0,0,0,0,0,0,0,0.08866,0,0,0,0.25072,0.10434,0,0,0.05994,0,0,0.00847
"Parabacteroides merdae",1.18926,0.0018,2.82055,0,1.33729,0.50227,0,1.84902,0.5707,1.49463,0.78809,0.35307,0.66671,0.57284,0,5.43457,0.43962,0.78296,1.62224,0,0.54205,0,1.3752,0.54134,0,0.76231,0,0.10906,0.00023,0.79726,0.02512,0,1.25916,2.26463,1.7435,7.04818,1.10236,2.05439,1.56529,0.91071,0.1149,1.50456,0.00126,0.00104,0.01736,1.14059,0.00045,0.82052,0,0,0,39.72756
"Lactobacillus rogosae",0,0,0.00603,0,0.10227,0,0,0.0033,0,0.09135,0.02118,0,0.00348,0.14336,0,0,0,0,0.12753,0,0.33725,0,0.01339,0,0,0,0,0.19707,0,0.19627,0,0.23725,0,0,0,0.17888,0.00219,0,0,0,0.12009,0,0,0.00879,0.03092,0.0107,0.03895,0,0.19978,0.02583,0,0
"Bacteroides thetaiotaomicron",1.77158,1.66734,0,0.00718,0.094,0.01457,15.20482,0.39739,0.0257,0.58979,1.98061,0,0.27061,0.00117,1.92308,0.02939,1.262,0.09716,0.12115,0.00038,0.87301,0,0.00298,2.35707,7.78974,3.71429,1.87948,0,0,0.0674,1.4216,2.1852,0.94953,0.44951,0.10486,0,0.2954,0.0235,0.00216,1.59792,0.22163,0.6521,0.16564,3.39005,1.85126,0.31554,0.65024,0.69758,0.57365,2.75942,0,23.82671
"Dorea longicatena",0.72241,1.41295,0.29512,1.51045,0.95564,0.67757,0.97365,1.36601,0.14386,0.31933,0,0.60393,0.72436,0.49558,1.70266,0.00242,0.00881,0.56073,1.01645,1.71344,0.87109,0,0.94876,0.48607,0,2.05535,0,0.17624,1.60247,0.43973,0.00798,0.07489,2.05418,0,0.10291,1.06909,0.62073,1.10486,1.06456,2.99617,1.08761,0.48646,0.52152,0.14963,0.91828,0.91902,0,0.70622,0.37599,0.18692,0.75232,0.79776
"Parabacteroides distasonis",1.18737,1.24366,1.02924,4.77203,0.6372,0.66613,0.0022,2.03849,4.27102,0.51618,4.74734,1.84475,2.17969,1.69582,2.80066,2.1831,1.90288,1.05152,3.44781,14.46643,0.52671,0,2.09121,2.88396,6.09114,1.83095,1.17835,0.13415,0.00243,0.61799,9.5925,3.2978,0.96815,4.47476,0.42582,3.88583,2.47683,1.28161,4.41886,1.5846,0.55562,3.1037,1.55575,0.00312,0.80479,0.41232,1.51241,0.40342,0.86672,1.90023,0,0
"Alistipes putredinis",1.54853,5.99893,4.52755,2.80933,6.27714,6.18658,0.00524,3.93473,4.42797,1.22188,5.02693,8.66874,4.54871,3.5588,1.41614,2.43962,1.26887,8.30526,2.76261,0.00821,1.23906,0,1.94202,6.17598,3.40418,2.92478,10.68766,0.0358,0.0063,3.91736,4.46258,1.79827,1.50612,3.35652,4.36138,7.18816,1.06661,3.37305,8.85338,0.0612,1.16167,7.27984,4.86037,8.86448,0.07886,2.27363,2.85952,2.27361,5.9603,6.01844,0,0
"Parasutterella excrementihominis",0.02934,0,0.00491,0,0.0448,0.00227,0,0.04982,0.02262,0,0.02091,0.06466,0.0037,0,0.45818,0,0.36392,0.01292,0.16509,0,0.00948,0,0.0273,0.02178,0.58646,0,0,0.00423,0,0.36121,1.0568,0.06889,0.04762,0,0,0.9652,0.08434,0,0.08962,0,0.01013,0.02546,0,0,0.20122,0.03767,0,0.00898,0.14913,0.65833,0,0
"Dorea formicigenerans",0.68777,0.24738,0.31326,0.25722,0.17623,0.41438,0,0.38739,0.04716,0.18313,0.1052,0.48317,0.23372,0.65254,0.4222,0.02047,0.25528,0.22226,0.48442,0,0.20629,0,0.30495,0.27167,0,0.21268,0,0.28474,0,0.40353,0,0.08122,1.08451,0.73465,0.40533,0.46848,0.18044,0.3979,0.38683,0.35095,0.43799,0.26501,0.32889,0.0057,0.15655,0.26088,0.10101,0.5301,0.16373,0.04721,0.20429,0
"Fusicatenibacter saccharivorans",0.77856,2.12235,1.25524,0.24849,1.00581,0.34577,0,3.95459,0.12657,0.30184,0.01112,0.47729,0.19571,0.49689,2.0695,1.34155,0.01128,2.0604,0.75023,0,1.46697,0,0.47838,0.18918,0,1.40407,0.03845,0.28536,0,0.95438,3.83287,0.32735,0.83449,0,1.23679,1.31938,1.10657,2.59406,0.75534,0.42484,1.67129,0.41674,0.99443,1.20139,1.71445,1.69848,0.20955,0.82319,1.056,0.60307,0,1.26149
"Collinsella aerofaciens",0.41854,0.00263,0.19104,0,2.06353,0.77473,0.00089,1.54004,0.20797,0.49825,0,0,0.37085,0.92623,2.32095,0.9632,0.15242,1.34349,0.37521,0,1.27936,0,1.34116,0,0,0.83383,0,1.16755,0,0.64733,0.12126,0.00086,0.48772,2.26466,5.92658,0.00045,0.87586,2.01068,3.71615,0.81473,0.93078,0.31951,0.87978,0.00446,0.0311,0.28804,0,0.53584,1.24059,1.675,0.00103,0
"Odoribacter splanchnicus",0.51358,0,0.37591,1.22466,0.9444,1.18145,0,0.72338,0.81573,0.35127,1.62313,1.17419,0.6989,0.43446,0.28897,0.83104,0.01494,0.38518,0.2045,1.09069,0.42173,0,1.59879,2.00797,0,0.31753,1.49283,0.27882,0,0.52404,1.26657,0.26803,0.33637,0.8363,0.39707,0.06392,0.58245,0.71889,1.38977,1.97752,0.30647,1.17834,1.09256,0,0.09836,1.56676,0.46491,1.49309,1.02125,1.24994,0,0
"Eubacterium sp. CAG:38",0,0,0.19806,0.44296,1.25058,0.00469,2.83145,0,0,0.01186,0,1.52049,0,0,0,0.21993,0.01883,0,0.84892,0.72634,0.15321,0,0.34033,0.35169,0.72393,0,0,0.32955,1.74545,0.62016,0,0.1963,0,0,0.09179,0,0.1816,0,0.01516,0.23058,0.00581,0,2.73239,0.89946,2.34093,0,0,0.04601,0.66234,0,0,3.1122
"Akkermansia muciniphila",0,0,0,5.06113,0.1964,0,0.001,0.09533,0.01021,0.00667,1.02767,0.76056,1.73578,0.21945,0,0.00337,0.52717,0.03192,0.01959,0,0,0,0,0,0,0.01258,1.01288,0.17124,5.19204,0,0,3.17839,4.61178,6.89615,0,0.02079,3.90374,0,1.06948,0,0.04012,0.07502,0,3.06263,2.807,0,0.74988,1.12591,2.96098,0.34471,0,0
"Eubacterium ventriosum",0,0,0,0.44458,0.16905,0.19215,0,0,0.04645,0,0,0,0,0.4853,0,0.20579,0.0037,0.00442,0.3898,0,0,0,0.15545,0,0.12656,0.25533,0,0,0,0,0.00018,0.57124,1.75841,0,0.00061,0,0.08844,0.51173,0.08594,0,0.12537,0.40832,0.15988,0,1.5271,0.32076,0,0,0.07914,0.15234,0,0
"[Ruminococcus] gnavus",0.02877,0.08998,1.51238,0.20721,0.14752,0,1.05979,0.01374,0.8448,0.04364,0.97361,0.67077,2.17749,0.25919,2.55855,0.17912,1.4054,0,0.65659,4.88741,0,0,0.00022,0.04467,0.07625,0.80467,0.18421,0,7.71755,0.00608,4.4052,0.01735,1.22596,2.32016,0,0.02521,0,0.21077,0.20711,2.2386,0,0,0.00021,0.47993,0.03039,0.01518,0.06058,0.00037,0.02634,0,2.04799,0.71225
"Firmicutes bacterium CAG:83",0.03845,0.79813,1.2341,0,0.95762,0.17073,0,2.47946,0.04448,0.02812,0,1.15327,0.01693,0,0.06338,2.68173,0.07425,0.06941,0.01124,0,0.06225,0,0.05724,2.42724,0,0.24598,0,0.22909,0,0.32433,0,0.01465,0.54281,0,0.64341,0.13451,0.10488,0.00857,0.4125,0,0.10007,0.04106,1.18501,0.43968,0.01972,0.01193,2.06202,0,0.14909,0,0,1.90906
"Alistipes shahii",0.19599,0,0.04776,0.44351,0.33511,0.21858,0,0.14224,0.1423,0.10272,0.07298,0.3675,0.10174,0.2056,0.00016,0.13481,0.00322,0.78421,0.05441,0,0.115,0,0.26944,0.10062,0,0.01846,0.01532,0.01558,0,0.03911,0.34382,0.14494,0.03395,0.07248,0.09454,0.63194,0.49877,0.04119,0.11173,0.14958,0.05136,0.42177,1.69178,0,0.01381,0.19239,0.02988,0.15279,0.08373,0.59081,10.70928,0.20644
"Roseburia hominis",0.56222,0.14069,0.0577,0.37645,0.07522,0.03553,0,1.69967,0.01123,0.13989,0,0,0,0.46799,0.67508,0.16517,0,1.0072,0.15761,0,0.14957,0,0.21954,0.01321,0.0515,0,0,0.04112,0,0.33953,0,0.14349,0.37409,0.04982,1.08061,0.08016,0.19979,0,0.06715,0.43869,0.50365,0.48261,2.30082,0.03036,0.29946,0.01259,0.2854,0.263,0.15268,1.74451,0,0.19141
"Gemmiger formicilis",0.06766,0.09623,0.0357,0.03893,0.03855,0.16843,0,0.04501,0,0.00565,0,0.21503,0.00602,0.03118,0.07753,0.30085,0,0.04724,0.1784,0,0.03457,0,0.11715,0.00325,0,0,0,0.15913,0,0.03623,0,0.00594,0,0,0.22906,0.3639,0.16754,0,0.0038,0.02332,0.10953,0.06075,0.12151,0,0.08388,0.6876,0.09563,0.05139,0.13958,0.09436,0.31923,0.05301
"Eisenbergiella tayi",0.00594,0,0.0289,0.6272,0.00265,0,0.04148,0.02277,0,0.00571,0.00503,0.01083,0,0.01687,0.01895,2.21264,0.20357,0.00145,0.00486,0.02109,0.00032,0,0,0.03761,0,0.03417,0,0,0,0.06391,0.06563,0.91385,0.00458,0.01155,0,0.01303,0.09339,0.02534,0.227,0.09989,0,0.01765,0.00144,0,0.02138,0,0.11149,0.02011,0,0.11196,0,0.00193
"Oscillibacter sp. 57_20",1.15807,0.75295,1.44923,0.3145,0.24651,0.93557,0,0.74708,0.00423,0.8988,0,0.28292,0.00011,0,0,0.11928,0.00024,1.75577,0.45769,0,2.8493,0,0.85319,0.29009,0,0.00285,0,0.42025,0,0,0.00144,0.24274,0.54207,0,2.38067,0.57162,1.53198,0.45462,0.01178,0.95292,0.93055,0.59193,0.84235,0.00173,0.00114,0.88936,0,0.54511,0.91222,1.06882,0.31322,0
"Parabacteroides goldsteinii",0.05853,0,0,5.22486,0,0,0,0,0.05622,0.103,0,0,0.01953,0.02392,0,0,0.02345,0.15821,0.17679,0,0.02513,0,0,0,0,0,0.19954,0,0,0.07695,0,0.71879,0,0,0,0,0,0.05835,0,0.00966,0.083,1.29121,0,0,0.00053,0.13751,0,0.04803,0.40124,0,0,0
"Firmicutes bacterium CAG:95",0.24366,0,0,0,0,0.02767,0,0,0,0,0.27745,0,0,0,0.00268,0,0,0.12112,0.05795,0,0.00651,0,0.05545,0,0,0,0,0.02936,0,0,0,0.02275,0,0,0.10967,0.00886,0.08874,0,0,0,0.03754,0,0.01758,0,0,0,0,0.11478,0,0,0,0
"Roseburia intestinalis",1.20187,0.0883,4.32398,0.10544,1.33102,0.6174,0,0.66632,0,0.34899,1.56976,0,0.06776,1.23678,0,0.18111,0.01037,0,0.48976,0,0.34264,0,0.01391,0,5.46712,2.62967,0,1.05006,0,2.10774,0.53938,0.48178,0.11655,0.2789,0.0103,1.9453,0.08939,1.62254,0.08151,0.01783,0.47546,3.31744,0.19398,1.68101,1.39067,2.83641,0.49022,0.07709,0.33551,0.0453,4.05296,2.64551
"Monoglobus pectinilyticus",0,0,0.12185,1.01247,0.14447,0,0.59249,0.82629,0.01144,0,0.62911,0.05859,0,0,0,0.11027,0,0,0.68607,0,0.0058,0,0,0,0,0,0,0,0,0.02487,0,0.14419,0.00666,0.10639,0,0.19743,0.07065,0,0,0,0,0,0.06274,0,0.2288,0,0,0,0.04829,0.01856,0.59593,0.32549
"Alistipes finegoldii",0.1707,0.06074,0.091,1.48509,0.01537,0.02919,0.86292,0.23632,0.03457,0.0451,0.54696,0.008,0.00314,0.01032,0.18632,0.00608,0.02096,0.0238,0.03526,4.91517,0.05814,0,0.01684,0.21998,1.79344,0.12911,0.15418,0.44696,0,0.09148,1.11254,2.27562,0.08336,0.4091,0.9494,0.00031,1.96699,0.05058,7.32186,0.01007,0.03533,0.82011,0.06618,3.13057,2.82227,0.14561,3.56863,0.07067,0.19649,0.07008,0,0
"Desulfovibrio piger",0.12342,0,0,0,0,0.2909,0,0,0.33819,0.56763,0,0,0.15543,0,0,0.35996,0,1.0341,0.3368,0,0.65426,0,0.00877,0.61874,0,0.2438,0.41978,0.17298,0,0,0,0,0,0,2.40148,0,0.35799,0,0,0.25972,0.19432,0.52422,0.37543,0,0,0,0,0.22452,0,0,0,0
"Coprococcus catus",0.2221,0.06932,0.07885,0.0606,0.1873,0.08508,0,0,0,0.00338,0,0,0.15784,0,0.14408,0,0,0.11255,0.11803,0,0.29037,0,0.32785,0.24906,0,0.0119,0,0.13452,0.30401,0.16819,0,0.03544,0.03049,0,0.0563,0.19305,0.12223,0,0.16183,0.00581,0.24959,0.08675,0.30433,0.0304,0.14373,0.22235,0,0.00754,0.20186,0.02162,0.67193,0
"Butyricimonas virosa",0.49371,0,0.00456,0,0.03824,0.06718,0,0,0.09309,0.04159,0.2105,0,0.02352,0.04803,0.39373,0,0.02861,0.16282,0.31419,0,0.17111,0,0.06262,0.05509,0,0.17384,0,0.42335,0,0.05886,0,1.16676,0.3026,0,0.18397,0,0.20293,0.233,0.04196,0.01404,0.17469,1.24813,0.00213,0,0.03202,0.04607,0.01931,0.39754,0,0.03327,0,0
"Phascolarctobacterium sp. CAG:266",0,0,0,0,0.42157,0,1.63255,1.85161,0,0.00388,0.58505,0,0,0.93033,0,0,0,0,1.64586,0,0,0,0.00879,0,0,0,0,0,0,1.38446,0,0,0,0,0,0,1.70954,0,0,0.02905,0,0.00633,0,0,0.00583,0,1.21553,0,0,0,0,0
"Clostridium sp. CAG:58",0.198,0.11876,0.35442,0.80517,0.12362,0.19339,1.13711,0,0.88013,0.04851,0.25802,0,0.3582,0.02723,0.00272,0.0386,0.38659,0.36121,0.15836,1.1573,0.14652,0,0.27662,0.2876,0.26206,0.52969,1.97632,0,0,0.25989,0.29271,0.17104,0,1.83088,0.77266,0.38806,0.09425,0,0.28968,0,0.05251,0.13783,0,0,0.01478,0.12023,0,0.20548,0.26361,0.12765,0.08762,0
"Anaerobutyricum hallii",0.11736,0.35919,0.19556,2.15414,0.62858,0.65124,0,0,0.22708,0.3084,0.03245,0,0.31364,0.09686,0.48296,0.40415,0.00299,0.10953,0.27316,0,0.38288,0,0.17967,0.41164,1.26906,0.10288,0.03093,0.33492,0,0.33835,0,0,0.27997,0.37321,0.00538,0.61235,1.02517,1.24197,0.9605,0.01936,1.0018,0.1723,0.7302,0.18258,0.86727,1.34053,0.05837,0.68653,0.75921,0.60393,0,0
"Agathobaculum butyriciproducens",0.08405,0.0752,0.37778,0.00423,0.18807,0.07033,0,0,0.01652,0.23945,0.00199,0.02448,0.2165,0.57922,0.43779,0.00313,0.18495,0.41205,0.20509,0,0.34358,0,0.15611,0.04625,0.52237,0.41827,0,0.22881,0.45947,0.57147,0.15486,0.25161,0.0906,0.12946,0.56054,0.12167,0.11703,0.15155,0,0.3746,0.04481,0.16423,0.15199,0.15816,0.27583,0.31704,0.13428,0.07112,0.279,0.04848,0,0.18932
"Blautia obeum",0.49185,0.06338,0.31458,0.20219,0.34277,0.51355,0,1.12807,0.00232,0.09865,0,0,0.20239,0,0.09198,1.26413,0.00083,0.40784,0.20449,0,0.33568,0,0.29721,0.72432,0,1.00696,0,0.34569,0,0.44454,0,0.76354,1.37904,0,0.2439,0.12571,0.08825,0.26182,2.91542,0.60088,0.17427,0.34893,0.34486,0.01397,0.37707,1.06869,0.69643,0.43509,0.15206,0.57835,0,0.68459
"Coprobacter fastidiosus",0.12921,0,0,0,0.36247,0.2013,3.25215,0.11022,0.31717,0,0.08914,0,0.02531,0.05165,0,0,0,0,0,0,0.03214,0,0.02952,0,0,0.05146,0,0,0,0.03805,0,0.06966,1.74112,0.26114,0,0,0.83393,0.03645,0,1.62302,0.02121,0,0.04065,0,0.00203,0.04806,0.02343,0,0,0,0,0
"Blautia wexlerae",0.05986,0.19813,0.40285,0.01127,0.07246,0.04868,2.86122,1.6613,0.34635,0.05162,0.79324,1.62931,0.02296,1.49699,0.0314,0.09512,0.26767,0.04444,0.20936,0,0.14344,0,0.05362,0.14944,1.29992,0.92878,0.64778,0.13195,10.56447,0.07902,1.04383,0.02009,0.54775,0.58723,0,0.06433,0.05483,0.00308,0.08652,0.07708,0.0485,0.06287,0.20016,0.09128,0.67471,0.27371,0.21497,0.35758,0.19544,0.045,1.14949,0.02489
