"","SKST006_6_G102964","SKST006_7_G102965","SKST006_4_G102962","SKST006_5_G102963","SKST006_2_G102960","SKST006_3_G102961","SKST006_1_G102959","SKST006_9_G103014","SKST027_3_G102945","SKST027_4_G102958","SKST027_6_G102955","SKST027_9_G102947","SKST027_11_G102996","SKST027_12_G103011","SKST027_1_G102984","SKST027_2_G102985","SKST032_1_G102943","SKST032_2_G102946","SKST014_3_G102978","SKST014_2_G102977","SKST014_5_G102980","SKST014_4_G102979","SKST014_7_G102940","SKST014_6_G102951","SKST014_1_G102976","SKST032_4_G103008","SKST032_3_G102989","SKST032_5_G103024","SKST027_10_G102936","SKST025_9_G103021","SKST025_2_G102986","SKST025_1_G102983","SKST025_6_G103010","SKST025_5_G103006","SKST025_4_G102939","SKST025_3_G102942","p8883_mo6","p8646_mo8","p8646_mo9","p8646_mo6","p8646_mo7","p8649_mo11","p8649_mo12","p8649_mo1","p8649_mo10","p8649_mo2","p8649_mo3","p8582_mo5","p8582_mo7","p8582_mo6","p8646_mo3","p8646_mo2","p8646_mo12","p8646_mo11","p8646_mo10","p8646_mo1","p8600_mo9","p8600_mo8","p8646_mo5","p8646_mo4","p8808_mo7","p8808_mo6","p8808_mo9","p8808_mo8","p8808_mo12","p8808_mo11","p8883_mo2","p8808_mo4","p8816_mo10","p8816_mo1","p8883_mo3","p8600_mo1","p8600_mo10","p8600_mo11","p8600_mo12","p8600_mo2","p8600_mo3","p8600_mo4","p8600_mo5","p8600_mo6","p8600_mo7","p8775_mo7","p8775_mo8","p8775_mo5","p8775_mo6","p8775_mo3","p8775_mo4","p8775_mo12","p8775_mo2","p8775_mo9","p8808_mo10","p8816_mo8","p8816_mo9","p8816_mo4","p8816_mo5","p8816_mo6","p8816_mo7","p8816_mo11","p8816_mo12","p8816_mo2","p8816_mo3","p8585_mo9","p8585_mo8","p8585_mo4","p8585_mo3","p8585_mo7","p8585_mo6","p8582_mo9","p8582_mo8","p8585_mo2","p8585_mo1","p8883_mo12","p8883_mo11","p8855_mo3","p8855_mo12","p8855_mo11","p8855_mo10","p8883_mo10","p8855_mo9","p8855_mo8","p8855_mo4","p8808_mo5","p8883_mo9","p9061_mo1","p8883_mo7","p8883_mo8","p8883_mo4","p8582_mo11","p8582_mo10","p8582_mo1","p9061_mo2","p9061_mo3","p8775_mo11","p8775_mo10","p8748_mo6","p8748_mo5","p8748_mo4","p8748_mo12","p8775_mo1","p8748_mo9","p8748_mo8","p8748_mo7","p9193_mo1","p9061_mo8","p9193_mo4","p9193_mo2","p9061_mo5","p9061_mo4","p9061_mo7","p9061_mo6","p9193_mo6","p9193_mo5","p8712_mo6","p8712_mo7","p8712_mo8","p8712_mo9","p8712_mo2","p8712_mo3","p8712_mo4","p8712_mo5","p8748_mo10","p8748_mo11","p9193_mo7","p9216_mo1","p9216_mo2","p9216_mo3","p9216_mo4","p9216_mo5","p9216_mo6","p9216_mo7","p9216_mo8","p8649_mo5","p8649_mo4","p8649_mo7","p8649_mo6","p8649_mo9","p8649_mo8","p8712_mo10","p8712_mo1","p8712_mo12","p8712_mo11","p8582_mo4","p8582_mo3","p8582_mo2","p8582_mo12"
"Lachnospira pectinoschiza",0,0,0,0,0,0,0,0,0,0,0,0,0.03482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59648,0,0.2267,0,0.01199,0.87146,0,0,0.0066,0.0062,0,0.05765,2.26563,0,0.75342,2.18858,0.13026,0.37746,0.46318,0.00537,0,0,0,0,0.03075,0.00074,0.00135,0.00366,0.44713,0,0,0,0,0,0,1.31062,0,0,0.00306,3.30851,0,0,0,0,0,0,0,0,0,0,0.00057,3.12145,3.58489,0,0,0,0,0.00262,0,0,0,0,0,0,0,0,0,0,0.00487,0,0,0,0,0,0.0029,0,2.34335,1.04673,0,0,0,1.49106,0,3.04096,0,0,4.11278,0,0.2769,0,0,1.68201,0,0.29221,0,3.83785,0.79783,0.96535,0,0,0,0,0,0,0,0,0,0.00222,0,0,0,0.41195,0,0.63929,0,0,0,0,0,1.20254,0.3687,0,0,0,0,8e-04,0.00116,0.00236,0,0,0,0.64746,0,0,0,0,0,0,0,0,0,2.36633,0.25746,3.53511,1.19839,0.46739,1.39535,0.49208,1.97097,8.50022,0,0,0,0
"Bifidobacterium pseudocatenulatum",0,0.73172,0,0,0,0,0,3.75158,0,0,0,0,0,23.90207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00061,0,0.00067,0.00103,1.08384,3.49738,2.82279,0,0,0,0,0,0,0,0,0,0.02542,0,0.01738,0.06017,0,0,0.00317,0.00172,0,0,0,0.01418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99359,2.31228,0,0,0,0,0,0.19031,0.00968,0.02319,0.27063,0,0.07806,0,0.82493,0.28938,0.60419,0.00062,0,0,0,0,0,0,0,0,0,0.01332,0,0,0,0,0,0.15039,0.45912,0.90857,0,0.05216,0.00862,0,0,0,0.01717,0,0,0,0,0,0,0,0.19322,0,0,0.02308,0.04035,0.00881,0.01064,0.01485,0.01397,4.9139,1.17561,3.94566,2.77545,1.93417,5.31833,0.35632,3.09474,0,0,0,0.48828,0,0.44115,0,0,0,0.00055,0,0,0,0,0,0,0,2.0795,0.02697,1.7432,0.1497,0,0.19061,0,0.01818
"Eubacterium sp. CAG:38",0,0,0,0,0,0,0,0,0,0,0,0,0.23003,0,0,0,0,0.0161,1.63034,0,0.44727,0,2.87815,11.2779,0,0.17695,0,0.27456,0,0,0,0,0,0,0,0,0,2.04932,0,0,0,0,0,0,0,0,0,0.1455,0.32218,0.5597,0,0,0,0,0,0,0.11374,0.9058,0,1.74418,3.44249,2.26022,3.91343,4.05965,0,0,0,0,0,0,0,0,1.36199,2.30033,0.41956,1.15497,0.00213,0.29594,0.3298,1.77597,1.07567,2.33632,0,0,0.58086,2.90308,0,0,2.88923,1.97923,6.99299,0.18647,0,0,0,0,0,0,0,0,0,0.66252,0,0,0,0.15532,0.59476,2.29626,0.20105,0,0,0.19024,0.11098,0,0.2688,3.68964,3.51261,0,0,4.69053,0,0,0,0.01433,0,0,0,0.26086,0.38471,0,0,0.13949,0.84878,0.00499,0,1.26373,0.19829,0.97986,0,3.80491,2.77508,0.3137,0.00123,0,0,0,0.05759,0.00062,0,0.11695,0,0,0.04053,0.00565,0.05669,0,0,0,1.49044,0,1.66917,0.87066,0,0.04823,0,1.26399,0.20116,2.28604,0.97318,2.33127,4.70571,0,0,0,0,0,0,0.00123,1.86529,0.00229,0.16349,0,0,0,1.07268
"Firmicutes bacterium CAG:145",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0327,0,0,0,0,0,0,0,0,0,0,0.01649,0.00431,0.00204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06747,0,0,0,0,0,0,0,0,0,0,0.02213,0,0.04928,0,0.07935,0.04555,0.01591,0.25306,0.05695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03973,0.14926,0,0,0.04424,0.08103,0,0,0,0,0,0,0,0,0,0.04552,0,0.11814,0.01326,0.32113,0.05912,0.37193,0,0,0,0,8e-04,0,0,0,0,0.08355,0,0,0,0.0019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09312,0,0.08947,0.66676,0.09677,0.23154,0.06848,0.13475,0,0,0,0,0,0,0,0,0,0,0,0.06531,0,0.01547
"[Clostridium] leptum",0,0,0,0,0,0,0,0,0,0.14125,0,0,0,0,0,0,0,0,0,0,0,0,0.05666,0.01193,0,0,0,0.03498,0,0,0,0.00097,0,0,0,0.00281,6e-04,0,0,0,0,0,0.28932,0,0.09056,0,0,0.11909,0.04571,0.00289,0,0,0,0,0,0,0.34006,0.24224,0,0.02763,0,0,0,0,0,0,0,0,0,0.03506,0.05144,2.34952,0.01888,0.39208,0.28159,0.29634,1.00825,0.07278,0.31471,0.45726,0.62175,0.01764,0.1277,0.02349,0.01549,0.04086,0.0478,0.00603,0.07348,0.02331,0,0,0,0.00551,0.03201,0.01482,0,0,0.00793,0,0.045,0.06944,0.15255,0,0,0.01954,0.00778,0.11632,0.04876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00308,0,0,0.172,0.25979,0,0,0,0,0.00087,0,0.11912,0.01448,0.06666,0.02914,0.0358,0,0.01451,0.00489,0,0.00103,0,0,0,0,0,0,0.00326,0,0,0,0,0,0,0,0,0.00075,0.0501,0,0.07976,0,1.08697,0.01447,0.42965,0.01063,0.12204,0,0,0,0.06808,0.77947,0.2464,0.84627,0,0.03928,0,0,0.00524,0.07202,0,0
"Ruminococcaceae bacterium D5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04821,0.03331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-04,0.00535,0.06445,0.0055,0.02995,0.04577,0.00425,0.15561,0.01484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00061,0,0,0.05281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07229,0.11697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03261
"Streptococcus thermophilus",0.00416,0,0,0,0,0,0,0,0,0,0,0,0,4.25119,0,0,0.01848,0,0,0.00592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00592,0.07905,0.02354,0.77731,0,0,0.01021,0.00808,0.03767,0.04471,0,0.11456,0,0.01781,0.01895,0,0.06024,0.08942,0,0.9221,0.52628,0.73768,0.81398,0.1107,0,0.87984,0.01058,0,0.01038,0,0.06881,2.5594,0.03516,0.0135,0.21192,2.00147,0.01516,0.55146,0.10326,3.21761,0.57448,0.06737,0.48681,0.33931,0.0184,0,0,0,0.02848,0.15944,0,0.00819,0.01095,0,0.19794,0.02532,0.04692,0.20488,0.35468,1.92345,0.02992,0,0.01689,1.07779,0.07465,7.04294,0.21985,0.07047,1.79171,0.09771,0,0.0072,4.48441,0,0,0,0.00246,2.53809,0,0,0.05029,0.10779,1.84089,0.00995,0.03076,0,0,0.01984,0.39209,0.06682,0,0.09524,0,0.00882,0.01633,0.48282,0,0.04208,1.30014,0.00846,0.33625,0.00079,0.08182,0.01174,0.38887,0.01058,0.60568,0,0,0.27641,0.09188,1.43483,0,0,0.11612,0.96649,0.9007,10.98541,13.32169,0.40446,6.87871,2.51702,1.44624,0.02595,0,0,0.04219,0,0.00197,0.08948,4.28913,0.7445,0.12898,0.52384,0,0,0.00447,6e-04,0,0.06376,0.91677,0.91968,0.30803,1.58718,0,0,0,0.1273
"Alistipes timonensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02034,0.06579,0,0.00715,0,0,0,0,0,0,0,0,0,0,0,0.01842,0,0.0242,0.01493,0,0,0,0,0,0.0253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03197,0.00797,0,0
"Firmicutes bacterium CAG:95",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03049,0.03229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15067
"Erysipelatoclostridium ramosum",0,0,0,0,0,0,0,0,0,0,0,0,0.19711,0,0,0,0.89486,0.03892,0,0,0.35903,0,0.01611,0,0,0,0,0,0.66843,0,1.21638,0.00966,0.74618,0.01665,0.21163,0.5324,0.04197,0.06613,0.72218,0.68889,0.17128,0,0.00584,0.01528,0.00897,0.00756,0.06219,0,0,0,0.41163,0.20482,0.11082,0.33812,0.69184,0.74019,0.12496,0.05483,0.72705,0.35224,0.15128,0.09273,0,0.1862,5.30355,5.17281,0.184,0.01085,0,0.00057,0.29662,0.48787,0.07107,0.18855,0.1446,1.52702,1.70585,0.28631,0.18731,0.22436,0.07682,0.0175,0,0,0,0,0,0,0.01195,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00399,0.01743,0,0.00468,0.01906,0,0.01408,0.03548,0.17348,0,0.08525,0.04719,0.10343,0.43365,0.90456,0.16876,0,0.17399,1.47663,0.27658,0.41564,0,0.24919,0.21298,0.38398,0,0.02102,0,0,0,0,0,0,0,0,0,0.56047,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07878,0.01504,0.05306,0.01138,0.07683,0.09543,0.19987,0.05527,0,0,0,0,0,0,0.01735,0.00525,0.03694,0,0,0,1.18828,0.02758,0.00728,0.00484,0.77753,0,0.38602,0,0,0,0.00584,0,0.00686
"Enterocloster clostridioformis",0,0,0,0,0,0,0,0,0,0,0,0,0.26452,0,0,0,0,1.00463,3.5424,0,0.115,0.21711,0,0,0,0.01557,0.28734,0,0,0.1649,0.07126,0.25975,0,0.06215,0,0.17927,0.20794,0.01415,0.00089,0.03841,0.02257,0,0,0.00475,0,0.0528,0.0104,0.00866,0,0,0,0,0.00436,0.00831,0.00382,0,0.0201,0.08427,0.02774,0.04859,0.11264,0,0,0.06951,13.19996,4.2048,0.399,0.35362,0,0,0.2776,0.33769,0.01739,0.01585,0.01443,0.18649,0.14171,0.2014,0.21244,0.28499,0.39473,0,0,0,0,0,0,0,0.00035,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00691,0.15881,0.01843,0.00542,0.01963,0,0.01875,0.08488,0.10348,0.12492,0.8383,2.51259,0.57403,1.23273,0.28474,0.09851,0.00812,6.84289,1.14545,0.05628,0.29278,0.00092,0.75134,0.32736,0.30599,0.0134,0.0183,0,0,0.0061,0,0,0,0.00517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00083,0.00138,0.00125,0,0,0.00581,0,0,0.01628,0,0,0,0,0,0.01491,0.02821,0.02977,0.03984,0.05036,0.1575,0,0,0,0.00097,0,0.01244,0,0.04166,0,0,0,0.01056,0,0.00507
"Anaeromassilibacillus sp. An250",0,0,0,0,0,0,0,0,0,0.17178,0,0,0,0,0,0,0,0.03851,0,0,0,0,0.05092,0,0,0.00565,0.00236,0.00225,0,0,1.3447,0.42682,0,0.01992,0.11166,0.56833,0,0.01114,0.00747,0.01108,0.01576,0,0.00046,0,0,0.00577,0.003,0.09029,0.03116,0.0098,0.21146,0.06421,0.08616,0.09932,0.04865,0.03952,0.1745,0.10721,0.0268,0.05767,1.25607,0.21141,0.1726,0.77638,0,0,0,0.4558,0.02278,0.04748,0,0.12244,0.06945,0.08786,0.05252,0.11381,0.20701,0.05052,0.10822,0.08787,0.10314,0.006,0.01817,0.00759,0.00309,0.02333,0.03635,0,0.00733,0.0165,1.03979,0.02373,0.00105,0.02931,0.1235,0.06669,0.02027,0.0101,0.00462,0.04109,0.04665,0.00737,0,0,0,0,0,0,0.01704,0,0,0,0,0,0.02303,0.18752,0.07078,0,0.06993,0.09169,0,1.22787,0,0.00151,0,0,0,0.01906,0.0152,0,0,0.00971,0,0,0,0,0.00195,0.00823,0.00274,0,0,0.01618,0.00538,0,0.03278,0,0,0,0,0,0.0017,0.04576,0,0.03748,0.07025,0.04111,0.00273,0,0,0,0,0,0,0.05962,0,0.05505,0.2094,0.11285,0.04913,0.09683,0.05822,0,0.00482,0.00154,0.00267,0.01282,0.00341,0.02969,0.04779,0.00925,0,0,0.00333,0.00269,0
"Christensenella minuta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00452,0.01067,0,0,0,0,0,0,0,0.00191,0,0,0,0,0,0.01293,0,0,0,0,0,0,0,0,0.00846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Firmicutes bacterium CAG:110",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07067,0.00479,0.88949,0.1439,0.37464,0.33657,0.3582,0.1434,0.29328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00273,0.01028,0,0,0,0.61024,0.0013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00588
"Intestinibacter bartlettii",0,0,0,0,0,0,0,0,0,0,0,0,0.04015,0,0,0,0,0.0085,0,0.02156,0.10354,0,0.02732,0,0,0,0,0,0,0,0,0,0,0,0,0.01803,0,0.01148,0.0989,0.14598,0.30565,0,0.30412,0.16481,0.2698,0.09728,0.25728,0,0.03328,0.01341,0.92249,0.24583,0.1615,0.53349,0.42206,0.06246,0.0776,0.08332,0.33011,0.14445,0.04713,0,0,0.00978,0.46199,1.33828,0,0.12449,0,0,0,0.02218,0.05118,0.02434,0.06525,0.27626,0.04795,0.15593,0.09464,0.17835,0.32061,0.07446,0.14942,0.03896,0.12195,0.14385,0.15222,0.01184,0.03477,0.01942,0,0,0,0.01941,0,0,0,0,0,0.03511,0.01159,0.01052,0.09612,0.09039,0.02968,0.00634,0,0,0.02961,0,0.1775,0,0,0.55202,0.5283,0.68582,0.9708,0,0.19147,0.2691,0.3,0,0,0,0,0,0,0,0.00883,0,0,0,0.16382,0.14092,0,0.01454,0,0,0.35389,0,0.0086,0,0.0345,0,0.01996,0.05669,0,0.01316,0,0,0.26897,0.03853,0.19729,0.13108,0.50731,0,0.07763,0.11312,0.57955,0.00949,0,0,0.08619,0.08122,0,0.01276,0,0.12036,0,0.06375,0.08224,0,0.11818,0.073,0.05468,0.19621,0.15284,0,0.17049,0,0,0,0,0,0
"Enterocloster lavalensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00917,0,0,0.0052,0,0.10798,0,0.01608,0,0,0.15135,0.0268,0.16862,0.3067,0.16739,0,0.00172,0,0.00343,0,0,0.00184,0.00662,0,0.04186,0.00933,0.01396,0.00644,0.02983,0.11498,0.02126,0.02395,0.15335,0.01763,0.16665,0.10356,0.02699,0.4031,0.26968,0,0.10045,0.41866,0.00185,0,0.25646,0.23697,0.04259,9e-04,0.00032,0.24926,0.00989,0.76132,0.33892,0.07467,0.0548,0,0,0.00479,0.00462,0.00145,0,0,0.01527,0,0.03446,0.00555,0,0,0,0.00238,0,0,0,0.01194,0.00732,0,0.00122,0.02341,0,0.03838,0.01976,0,0.01551,0.01163,0.00903,0.22238,0.0791,2.38487,0,0.00688,0,0.10415,0,0.12335,2.53585,0.47115,0.26487,0.00025,0.29862,0.34781,0.08725,0.0116,0.0081,0,0,0.01332,0,0,0,0,0,0,0.00833,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04339,0.00772,0.03764,0.00013,0,0,0,0,0,0,0,0.01209,0,0.18361,0.14262,0.17595,0.10682,0.05294,0.242,0,0.03273,0.00299,0.02634,0.00142,0.01216,0,0.02713,0,0,0.00839,0.0013,0.00486,0.00456
"Pseudoflavonifractor sp. An184",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0306,0,0.24803,0,0.08242,0,0.02309,0,0,0,0,0,0,0.00244,0,0.0292,0,0,0,0,0,0,0,0,0,0,0,1.02892,0.7099,0,0,0,0,0,0,0,0,0,0,0.00703,0.02952,0,0,0.32901,0.03392,0,0,0,0,0,0,0.19012,0,0,0,0,0,0,0,0,0,0,0.01293,0,0.01221,0.10227,0.09385,0.0024,0,0.00096,0.00335,0.03555,0,0,0,0,0,0,0,0.02375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11203,0,0.31697,0.30663,0,0,0,0,0,0.00487,0,0
"Eggerthella lenta",0,0,0,0,0,0,0,0,0.29729,0,0,0,0.00923,0,0,0,0,0.02899,0,0,0,0,0.90853,0.01285,0,0,0,0,0,8e-04,1.17689,0.14218,1.76499,0.00557,1.51312,1.29827,0.35893,0.47684,0.54577,0.79968,0.28814,0,0,0,0,0,0,0,0.00401,0.01547,0.66383,1.58486,0.47834,0.13037,0.23247,0.78215,0.25192,0.78367,0.99043,0.39908,1.73551,3.9325,2.71302,1.26702,0.7858,0,0.43513,3.75103,0.11696,0.14201,0.33483,0.39842,0.0979,0.50144,0.57136,0.97344,4.25799,0.92129,1.85989,1.72446,1.20578,0,0,0.03931,0,0.01302,0.01344,0,0.05796,0,2.1784,0.04865,0.17142,0.5156,0.16423,0.18658,0.06263,0.07306,0.04544,0.07774,0.28908,0,0.0013,0.30245,0.00891,0.04438,0.03927,0,0.00355,0.7449,1.65954,0.52842,0.14461,0,0.33586,0,0,0.32547,0,0,0,6.06403,0.19121,0.03275,0.25225,0.58971,0.15505,0.01092,0.00763,0,0.03504,0.04627,0,0,0,0.02198,0.01457,0.00835,0.18064,0,0,0.00084,0.14452,0.04331,0,0.04798,0.09609,0.06015,0.1027,0.0016,0.00675,0.03581,0.61821,0.93782,0.69429,0.29094,0.30267,0.33463,0.26791,0.90495,0,0,0,0.17822,0,0.59409,0.28301,0.30975,0.37572,0.22491,0.23948,0,0,0.01185,0.01658,0.00097,0.04094,0.22132,0.37179,0.37489,0.032,0,0,0,0
"[Clostridium] symbiosum",0,0,0,0,0,0,0,0,0,0.03907,0,0,0,0,0,0,0,1.20366,0,0,0,0,0.84633,0.88477,0,0.01303,0.14698,0,0,0.00221,0,0.1551,0,0,0,0.02525,0.0369,0.20074,0.03765,0.58281,0.0203,0.40432,0.0294,1.18281,0.07161,0.58495,0.27377,0.00713,0,0,0.02921,0,0.20855,0.01653,0.08723,0.00646,0.28557,0.16966,0.21665,0.0822,0.64195,0.31073,0.02477,0.96495,3.49559,2.12492,0.02771,0.8852,0,0.00366,0.22736,0.7134,0.21871,0.23514,0.17582,0.14237,0.05414,0.49774,0.58529,0.63009,0.5216,0,0,0,0,0.01693,0.0116,0,0.01201,0,1.76286,0,0,0,0,0,0,0,0.00385,0.01969,0.00743,0.00516,0.05843,0,0,0.0654,0.36408,0,0.01894,0.02292,0,0,0.04815,5.00531,1.82529,2.38689,1.09999,0.03813,2.91298,0.39848,4.14098,0.54606,0,0.00307,0.04312,0.02985,0,0.01107,0.00663,0,0,0.00735,0,0,0,0.00042,0.02512,0.05145,0.4087,0.04123,0.05421,0.05686,0,0,0,0.0016,0,0,0,0,0,0.00156,0.00801,0.01667,0.00165,0,0.00091,0,0,0,0.03843,0.01543,0,0.01312,0,0.02034,0.10569,0.03457,0.03074,0.07702,0.19029,0,0.90695,0.31367,0.62429,0.04427,0.30642,0.01647,0.08088,0,0,0,0.00153,0,0.03005
"Lactonifactor longoviformis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08622,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01023,0.0065,0.02595,0,0.01337,0.00868,0,0,0,0,0,0,0,0,0,0,0,0,0.00419,0,0.00733,0.02032,0.0111,0.05425,0.06301,0.01195,0.02466,0.05659,0.01865,0,0,0,0,0,0,0,0,0,0,0,0,0.01194,0,0,0,0,0,0,0.00398,0,0,0.00746,0,0.00052,0,0,0.01445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0096,0.00645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00579,0.00049,0,0,0,0.00554,0.0074,0,0,0,0,0,0,0.01205,0.00465,0.00565,0.00075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella copri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01178,0.00668,0,38.24284,6.93515,16.3629,2.65825,29.26879,0,0.00737,0,0.00238,0.00069,0,0,0,0.00666,0.00689,0.00841,0.00705,0.00269,0.01429,0,0,0.00173,0,0,0,0.01349,0.00362,0.00881,0,0.00209,0,0,0,0,0.00558,0.00064,0.00573,0.00365,0,0,0,0,0,0,0,0.00348,0.00816,0,0.07923,0,0.02125,0,0,0,0,0,0.0185,0.00585,0,24.17059,42.83256,2.07486,17.84161,33.93508,30.39987,0,0,17.84719,0,0.13112,0.00852,0.00797,0.01357,0,0.03111,0,0.00084,0,0,0,0.01117,52.41923,0.01964,0.01733,0,0.0073,0.00641,0,60.98412,67.44451,0,0,0,0,0,0,0.00606,0,0.00515,0.00538,0.01131,74.703,0.01847,0.01085,63.41168,61.66275,55.91159,63.97173,0.01183,0.0029,0,0,0,0,0.00357,0.01305,0.00524,0,0.02178,0,0,0,0,0,0.00291,0.00044,0,0,0,0.03143,13.95318,0.9966,22.31454,1.41626,0.07531,0,0,0.00508,0,0,0.0037,0.00572,0
