"","O2_UC1_0","O2_UC1_2","O2_UC11_0","O2_UC11_2","O2_UC12_0","O2_UC12_2","O2_UC13_0","O2_UC13_2","O2_UC14_0","O2_UC14_2","O2_UC16_0","O2_UC16_2","O2_UC17_0","O2_UC17_2","O2_UC18_0","O2_UC18_2","O2_UC19_0","O2_UC19_2","O2_UC2_0","O2_UC2_2","O2_UC20_0","O2_UC20_2","O2_UC21_0","O2_UC21_2","O2_UC22_0","O2_UC22_2","O2_UC23_0","O2_UC23_2","O2_UC24_0","O2_UC24_2","O2_UC26_0","O2_UC26_2","O2_UC27_0","O2_UC27_2","O2_UC29_0","O2_UC29_2","O2_UC3_0","O2_UC3_2","O2_UC30_0","O2_UC30_2","O2_UC31_0","O2_UC31_2","O2_UC32_0","O2_UC32_2","O2_UC34_0","O2_UC34_2","O2_UC35_0","O2_UC35_2","O2_UC36_2","O2_UC37_0","O2_UC37_2","O2_UC38_0","O2_UC38_2","O2_UC4_0","O2_UC4_2","O2_UC40_0","O2_UC40_2","O2_UC41_0","O2_UC41_2","O2_UC43_0","O2_UC43_2","O2_UC44_0","O2_UC44_2","O2_UC46_0","O2_UC46_2","O2_UC47_0","O2_UC47_2","O2_UC48_0","O2_UC48_2","O2_UC5_0","O2_UC5_2","O2_UC9_0","O2_UC9_2","V1_CD1_0","V1_CD10_0","V1_CD12_0","V1_CD15_0","V1_CD15_3","V1_CD17_0","V1_CD17_4","V1_CD18_0","V1_CD18_3","V1_CD20_4","V1_CD21_0","V1_CD21_4","V1_CD25_0","V1_CD25_4","V1_CD35_0","V1_CD35_1","V1_CD41_0","V1_CD6_0","V1_CD6_4","V1_CD7_0","V1_CD7_4","V1_UC1_0","V1_UC10_0","V1_UC10_2","V1_UC11_0","V1_UC11_5","V1_UC12_0","V1_UC12_4","V1_UC13_0","V1_UC13_3","V1_UC14_0","V1_UC14_1","V1_UC15_0","V1_UC15_3","V1_UC17_0","V1_UC17_2","V1_UC2_0","V1_UC2_4","V1_UC21_0","V1_UC21_4","V1_UC23_0","V1_UC23_1","V1_UC25_0","V1_UC25_1","V1_UC26_0","V1_UC26_4","V1_UC3_0","V1_UC3_2","V1_UC31_0","V1_UC31_4","V1_UC35_0","V1_UC35_4","V1_UC38_0","V1_UC39_0","V1_UC4_0","V1_UC4_5","V1_UC40_0","V1_UC45_0","V1_UC47_0","V1_UC49_0","V1_UC49_1","V1_UC5_0","V1_UC5_3","V1_UC50_1","V1_UC51_0","V1_UC51_4","V1_UC52_0","V1_UC52_1","V1_UC53_0","V1_UC53_4","V1_UC54_0","V1_UC55_0","V1_UC55_4","V1_UC56_0","V1_UC58_0"
"Limnochorda pilosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adlercreutzia caecimuris",0,0.0023,0,0,0,0,0,0,0,0.00139,0,0,0,0,0,0,0,0.00257,0,0,0,0.00577,0,0.00211,0,0.00572,0,0,0,0,0,0,0.03301,0,0,0,0.0011,0.00634,0.00506,0.00311,0,0.00224,0.00144,0.00685,0,0.00036,0,0,0.0028,0,0,0,0,0,0.00068,0.00147,0.00267,0,0,0,0,0,0,0.00423,0.00178,0.00435,0.01471,0,0,0.00539,0.00078,0.00153,0,0,0,0,0,0.00042,0,0,0,0,0,0,0,0.00024,0.00054,0,0.00077,0.00143,0,0.00085,0,0.00066,0,0,0.00586,0,0.00416,0.00622,0.00382,0,0.00433,0,0,0,0.00373,0,0,0.00319,0.00269,0,0.00427,0,0,0.00239,0.00201,0.00449,0,0,0,0.00198,0.00112,0.00192,0,0.00301,0.00239,0.00264,0.00562,0,0.00235,0.00315,0.00559,0.01076,0,0.00826,0.00188,0.00116,0.00161,0.00101,0.00041,0,0,0.01488,0.00311,0.00467,0.00193,0.00079
"Firmicutes bacterium CAG:170",0,0.03833,0,0,0.49647,0.11253,0,0.32535,0,0.02105,0,0.04233,0,0,0.04027,0.39821,0,0,0.00618,0,0,0,0,0,0,0,0,0,0,0.11485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16326,0.59405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00249,0.1263,0,0,0,0,0.43218
"Thermoleophilum album",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parabacteroides sp. CAG:409",0.39898,0.11268,0.116,0.48998,0.11718,0.22508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68572,0.26889,0,0.09282,0,0,1.75018,1.07491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33364,0.43595,0,0,0,0,0.72383,1.64648,0.07358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23321,3.27446,0,0
"Phocaeicola dorei",1.70062,0.42007,0.07582,0.1156,0,0,1.97555,2.02873,6.88713,2.54301,0,0.01537,0.15234,0.0989,10.11349,6.02507,0,8.19689,0.10615,2.25159,6.89893,4.77429,2.79372,3.38028,11.81095,14.24671,0,0.16125,0.21071,0.51856,0,0,15.8524,13.14441,9.32702,7.84827,0.01024,0.00325,0.02323,0.21619,0.28846,1.19376,0.21046,0.16209,0.36928,0,12.05512,4.40261,0.91012,0,0,0.56509,0.71834,21.16128,16.36114,0.02689,1.52824,0.52754,1.18719,0.78756,0.20336,0.17876,0,3.16323,4.51997,0.59333,0.12189,0,0.59213,0,0,3.85372,5.29166,1.38361,0.50054,33.38272,11.51322,0.81172,4.26236,4.17321,0,0,0.07979,0,0,13.24023,17.6857,0.00535,0,0.08795,24.29199,0.43064,0,0,6.22524,21.27447,5.10735,17.94782,1.34599,0.26016,0.08941,0,0,2.4907,0.00424,0,0,1.16474,0.10745,0,0,2.85427,1.35872,0.70927,0.25662,0,10.28255,0,0.60221,0,0,0,0,2.64001,4.88672,0.02837,2.30493,3.49879,11.04415,0,1.30691,0.38638,5.23193,14.84221,0,0.01204,8.06183,1.26796,4.76476,0.34575,1.00677,0.78645,0.0573,2.79567,0.10469,0,0.0075,2.67047
"Eubacterium sp. CAG:251",0,0,0,0,5.89071,1.30448,9.04849,0,0,0,0,0,0.78644,2.04458,0,0,0,0,12.86908,3.92995,0,0,0,0,0,0,6.18668,6.91994,0.29797,3.9364,0,0,1.66706,1.67124,3.55033,3.12094,0,0.00015,5.08125,1.53748,0.48908,0.82186,0,0,0.46476,0,0,0,1.00011,0,0,0,0,0,0,0.68446,0.73497,4.00564,3.51016,0,0,0,0,0,0.00499,0,0,0,0,0,0,0,0.08375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1274,0,0,10.59001,2.11896,2.39785,0,0,0,0,0,0,0,0,0,0,0,0,0.00915,0,0.03343,0.49259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27626,4.17733,3.87188,0,0,0,0,0,0.56915,2.63322
"Phascolarctobacterium sp. CAG:266",0,0,0.77525,1.37045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00429,0.00164,0.01333,0.04236,0,0,0,0,0,0,0,0.37065,0,0,1.10181,0.70093,0,0,1.09453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84803,1.64794,0,0,2.43847,0.80769,1.52935,0.99722,0,0,0.6316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88537,0.96449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06915,1.34112,0,0,0,0,0,0,2.68889,0,0,0,0,0,0,0,0,0,2.65223,0,0,0,0,1.68375,0,0,0,0,0,0,0,0,0,0,0,0,0.94103,1.22002,1.37052,0,2.77322
"Eubacterium sp. CAG:274",0,0,0,0,0,0,0.4082,1.49034,0,0,0,0,0.01111,0.08176,0,0,0,0,0,0,0,0,0,0,0.03186,1.18032,0,0.0148,0,0,0,0,0,0,0,0,0.40911,0.02182,0,0,0.47805,0.19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34121,0.97781,0,0,0,0,0,0,0,0.0204,0,0,0.60206,0.32509,0,0,1.3965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00038,0.96994,0,0,0,0,0.12092,0.21974,1.37239,0.80289,0,0.06932,0,0,0,0,0,0,0,0,0,0,1.07059,0,0,0,1.91335,1.19951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00345,0,0,0.0161,0,0,0,0,0,0,0,0,0,1.05197,0,0,0.3598
"Alistipes inops",0,0,0,0,0,0,0,0.00771,0,0.00072,0,0,0,0,0,0.03016,0,0,0,0,4.82591,6.51318,0,0.13128,0,0,0,0,0,0.01823,0,0,5.27167,0,0.10487,0.13152,0,0,1.70175,1.41563,0.52281,0.39798,0,0,0,0,0,0,0,2.79669,0.25671,0,0,0.97121,2.07288,0.04112,0.06671,0,0,0,0,0.04024,0.01055,0,0,0.19454,0.17715,0,0,0,0,0.22198,0.12058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.62453,1.64659,3.91218,0,10.76224,0,0,0,0,0,0,0.01485,0.47127,0,1.47194,0,0,0,0,0,0,0,0.27709,0,0.00056,0,0,1.45592,2.13105,3.98553,0.51892,0,0,0,0.01335,0.17233,0.28557,0,0.62874,3.79324,0,0.01447,4.86367,3.62704,2.173,0.60665,0,0,0,0,0,0,0,0
"Dorea sp. CAG:317",0,0.02208,0,0.11009,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01958,0.13213,0,0,0.01234,3.13251,0.42768,0.00984,0.24667,0,0.00439,0.01625,0,1.30354,0.84942,0,0.04831,0,0,0,0.39129,0,0,0,0,0,0,0,0,0,0,0,0.0138,0,0,0,0,0,0.43807,0,0,0,0,0,0,0.05408,0,0,0,0,0,0,3.92444,0,0.02586,0.06238,0,0,0.59707,0,0,0,0,0,0,0,0.00218,0.00942,0,0
"Monoglobus pectinilyticus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04151,0,0,0,0.14606,0.03955,0,0.03092,0.32492,0.40188,0,0,0,0,0,0,0,0,0,0.10228,0,0,0,0,0,0,0,0,0,0,0,0.11054,0,0,0,0.104,0.05573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07931,0.06812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61629,0.26286,0,0,0,0,0,0.11889,0,0.01289,0,0,0,0,0,0,0,0
"Escherichia coli",0,0.11849,0,0.03054,0.17452,0.79975,0,0,0,0.00687,0,0,0,0,0.05428,0,0.74107,0.17258,0.00093,0.37048,0,0,0,0.02107,0,0,0.63444,0.05198,0.03782,1.08534,2.5478,1.95008,0,0,0.0598,0.07925,0.0266,0,0,0,0.03404,0.04058,0,0,0.01259,0.01221,0,0,0,0.21321,0.21964,0,0.03873,0,0.03089,0,0,0.00645,0.10056,0,0,0.11717,0.09495,0,0.00888,1.26208,0.7383,0,0.05441,0,2.90983,0,0.004,0.00716,8.22719,0.28338,0.07739,0.25348,0.2568,0.04011,0.68276,2.52247,0.36412,2.27373,0.58908,0,0.00131,0.89283,0.5131,20.55442,0,0,0.91701,0,0.10774,0.05316,0.10035,0.00232,0,0.13644,0.32221,0.03516,0.09679,0,0.83332,0.14357,0.02751,0.0873,0.05459,0.03733,0,0,0.00417,0.01008,0,0.0197,0,0.16504,0.07284,0,0,0,0.00334,0.03753,0.06057,0,0.03888,0,0,0,0,0.00471,0.24418,0.40829,0.21298,0.48105,0.29275,0.18542,0.02991,0.04677,0.1018,0,0,0.00473,0,0.02199,0,0.26915
"Candidatus Gastranaerophilales bacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02836,0.12092,0,0,0,0.00469,0.00968,0.37983,0,0,0.01127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06884,0,0,0.01943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides clarus",0,0,0,0,0,0.00088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14419,0.03497,0,0.01051,0,0,0,0,0.05552,0.04492,0.22527,0.42033,0,0,0.02576,0.13382,0,0,0,0,0,0,0,0,0,0.01136,0.01219,0,0,0.09166,0.12786,0.23261,0.22296,0.01924,0.00945,0,0,0.00547,0.03814,0.10001,0.01608,0.01924,0.50913,0,0,0,0,0,0,0,0,0,0.12718,2.31821,0,0,0,0,0,0,0,0.00235,0,0.22429,0,0,0.03326,0.53827,0,0.81036,0.21322,0,0,0.0073,0,0,0,0,0,0,0,0,0.29057,0,0,0,0,0,0,0,0,0,0.02134,0,0,0,0,0,0.64184,0,0,0.13621,0.0942,0,0,0,3.60537,2.22948,0,0,0,0.02318,0.15125,0.12655,0.18779,0.01158,0.00281,0.00191,0.00184,0.00924,0,0
"Roseburia sp. CAG:471",0,0.01062,0,0.00362,0,0.00086,0,0.01368,0,0.00169,0,0,0,0.03718,0,0.00755,0,0,0.30413,0.14326,0.00111,0.00209,0,0.00024,0,0.00044,0,0.13893,0,0.00571,0,0,1.63626,0.55385,0.00701,0.00806,0.00263,0.00256,0.02578,0.00861,0.01532,0.05262,0.00914,0.00425,0,0.1818,0,0.00196,0.00285,0.00026,0.01312,0,0,0,0.00381,0.11187,0,0.00093,0,0.00427,0.00179,0.00395,0.00281,0.01485,0.01459,0,0,0,0.00093,0.00549,0.0041,0.01257,0.01002,0,0,0,0,2.55093,0,0,0.00166,0,0,0,0,0,7e-04,0,0,0.00252,0.01199,0.0021,0,0,0.00047,0,0.00042,0,0,0.00808,0.00191,0,0,0,0,0,0,0,0,0.00221,0.00936,0,0.00046,0.00617,0.00034,0,0.00276,0.00128,0,0.02742,0.11886,0,0,0.00377,2e-04,0.01017,0.01008,0.00104,0.00219,0.00056,0.00651,1.18676,0.00243,0.00513,0.00208,0.00384,0.03657,0.00035,0.00139,0.00089,0.00015,0.00285,0.00019,0.01112,0.00016,0.00054,0,0.00502
"Roseburia intestinalis",0.8156,1.6059,0,0.3463,0.34955,0.30195,3.34702,0.18661,0.52726,0.04801,2.07611,0.05724,0,0.01501,0.25971,0.73848,0.19522,0.06899,0.03758,0,1.36241,0.12301,2.09646,0.58198,1.74666,1.94971,0,0.94217,0.02942,0.01215,0,0,0.0654,0.14836,0.27302,0.14962,0.15543,0.63207,0.16105,0.04974,0.02289,0.12153,0.00592,0.00583,0.01105,2.69898,0.70851,0.03945,0.34848,0.13456,5.91464,1.70098,1.60463,1.02195,1.61032,0.13485,0.00952,0.57754,0.47936,0,0,0,0.01272,1.12905,0,0.05055,0.00346,0.23065,0.01232,1.43749,5.97263,2.86174,0.0166,0,0,0.02882,1.35564,1.16296,6.20083,0,0,0,0.94822,0,0.01283,0,2.85689,0.7825,0.00211,1.26147,0.37525,0.01792,0,0,0.00945,0.03428,0.03498,0,0,0.05792,0.77719,0,0.08251,0.33178,0.23134,0,0,0.36925,0,0,0,1.06733,0,5.61894,4.7536,5.21346,0.79659,0,0.02193,0.57262,0,2.46913,3.27192,0.11294,0.20948,0.17026,0.12902,0.15852,0.89171,0,0.36977,0.43427,0.82066,0.05513,1.03383,0.03161,0.17487,0.21037,0.61183,0.42695,0.41531,0,0,0.86897,0.31328,0.40118,0.14222,0.68541
"Coprobacter fastidiosus",0,0.0023,0,0.00316,0,0,0.03441,0.0382,0,0.02508,0,0,0,0.00723,0.00222,0.01815,0,0,0.05636,1.0414,0.33036,0.1397,0,0,0,0,0.33057,0.01164,0,0.00203,0,0,0,0,0,0,0.17171,0.00223,0,0.02895,0.18983,0.0634,0.1536,0.0788,0,0,0.14572,0.1521,0.0852,2.60295,0.61333,0.26325,0.32468,1.1748,0.8061,0.05063,0.03379,0.01515,0.03061,0.02035,0.01578,0.02883,0.09242,0.02727,0.03003,0.00815,0,0.00016,0.10661,0,0.01469,0.00221,0.02438,0,0,0,0,0,0.4616,1.00811,0,0,0.06454,0,0,0,0,0,0,0,0,0,0,0,0.30269,0,0,0,0,0.00435,0.00816,0,0,0,0,0.37513,0.64112,0,0.00554,0,0,0,0,0.40906,0.11702,0.01164,0,0.03368,0.04342,0,0,0,0,0,0.73657,0,0.00017,0.00178,0.00071,0,0.15944,0.01916,0.15352,1.01059,0.05128,0.0029,0.07399,1.73329,0.16503,0.44152,0.02356,0.01986,0,0.00994,0,0,0,0.78016
"Streptococcus thermophilus",0,0.04085,0,0.10884,0.5858,0,0,0,0.46418,0.4936,0,0,0,0.72592,0.00887,0,0,0,0.00818,0,0,0.10269,0,0,0,0,0.05096,1.70918,0,0.01624,0,0.27135,0.01873,0.39056,0,0,0.33462,0,2.89851,0.34797,0.0073,0,0.78509,0.51051,0.00127,0.12262,0.09699,0.11838,0,0.07153,4.69638,0.07009,0.04266,1.14712,0.11685,0,0.3185,0.02447,0,0.14608,0.32529,0.00561,0.00295,0,0,0.02544,0.0645,0.34806,0,0,0.01831,0.29238,0.01536,0,0,0,0,0.22527,0.00646,0.01618,0.86418,0.61918,0.00148,0.01423,0.34538,0.38085,0.00364,0,0,0.02705,0.03704,0.02954,0,0.85789,0.02651,0,0.00429,1.9044,0.00211,0.33814,0.13823,0.00869,0.29633,0.96047,0.01346,0,0.03534,0,0.13848,0.75404,0.01262,0,0.2203,0,0,2.34442,0.13025,0.18448,0.90857,0,0,0.21437,1.5635,0.23752,0.01186,0.8646,0,0.45771,0,0,0.40248,0.02374,0,0.46336,0,0.01171,0,0.13548,0.06829,0.04206,0,0.23132,0,0.0032,0.53556,0.01711,0,0.16548
"Clostridium sp. CAG:299",0,0,0,0.07234,0,0,0,0,0,0.00106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099,0.03022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06142,0.02212,0,0,0.03124,0.04321,0,0,0,0.00096,0,0,0,0,0,0,0,0,0,2.89107,2.44595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00382,0,0,0,0,0,0,0.09272,0.00234,0.04218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07317,0.02727,0.02811,0,0,0,0
"Blautia sp. CAG:257",0,0,0,0.02133,0,0,0,0,0,0,0,0,0,0.02717,0,0,5.5668,3.91833,0,0,0,0,0,0,0,0.00886,0,0,0,0,0,0.04724,0,0,0,0,0,0.00288,0,0,0,0,0.00091,0,0,0,0,0,0,0.00022,0.00648,0.00531,0.00457,0,0,0,0,0,0,0,0,0,0,0.02366,0.01418,0,0,0.01005,0.00824,0.01426,0.00114,0,0,0,0,4.20705,0.03754,0.16268,0.06036,0.0328,0,0.00167,0.0486,9.24531,1.23604,0,0.01586,0,0,0,0,0.08916,0,0,0,0,0,8.40027,1.21051,0,0,0,0.05169,0,0,0,0.00398,0,0,0,0,0,0,0,0,0.01046,0.00294,0,0,0,0,0,0.05614,0.01946,0,0,0.01226,0.00282,0.01105,0,0.05154,0.00026,0,0.03014,0,0,0,0,0,0,0,0,0,0.0309,0.02755,0,0,0
"Alistipes indistinctus",0,0.0311,0,0,0,0,0,0,0,0.05691,0,0,0,0.01622,0.25494,0.39437,0,0,0.00532,0.01601,0,0,0,0,0,0.00475,0.17194,0.04782,0,0.00821,0,0.0358,0,0,0.01196,0.02372,0,0,0.03834,0.13358,0.01009,0.00895,0.0686,0.00572,0,0,0,0.00621,0.01458,0,0,0.02753,0.02408,0,0.01359,0.13085,0.02035,0.02701,0.10292,0,0,0.00754,0.14235,0.03969,0.08741,0.01357,0.09561,0.05282,0.02205,0,0,0,0,0.01202,0,0,0,0,0,0,0,0,0.01488,0,0,0,0,0,0,0,0,0,0,0,0.02924,0,0,0,0,0.5307,0.03652,0,0,0,0,0,0.02415,0,0.00282,0,0,0.01765,0.2355,0,0,0.00864,0,0.83932,0.10619,0,0,0.01057,0.00624,0.0314,0.03753,0.11593,0.11879,0.06084,0.11834,0.00636,0,0,0.11886,0.0135,0,0.05508,0.02076,0.00414,0.0346,0.02775,0.1556,0,0,0.03715,0.02656,0,0,0.09845
"Oxalobacter formigenes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus delbrueckii",0,0,0,0,0.04152,0,0,0,0,0.02132,0,0,0,0.00501,0,0,0,0,0,0,0,0.00642,0,0,0,0,0.0429,0,0,0.00098,0,0.00936,0,0,0,0,0,0,0.00592,0,0,0,0.00374,0.01491,0,0,0,0,0,0,0.00862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0135,0.06989,0,0,0.01555,0,0,0,0,0.01909,0,0,0.00626,0.00849,0,0,0,0,0,0,0,0,0,0,0.02785,0,0,0.0417,0,0,0,0,0,0,0,0,0,0,0
"Firmicutes bacterium CAG:94",0,0,0.39834,0.08216,0,0,0,0,0,0.01256,0,0,0,0,0,0.01447,0,0.72704,0,0,0.06694,0.15726,0,0.1082,0,0,0.01068,0.01404,0,0.11568,0,0,0.06259,0.05412,0,0,0,0,0.23546,0.0962,0,0,0.08235,0.1526,0,0,0,0,0.04672,0,0,0,0,0,0.00434,0,0,0,0,0,0,0,0,0,0,0.03506,0.02947,0,0,0,0,0.01038,0,0,0,0,0.004,0.01072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02371,0.28154,0,0.00167,0.09148,0,0,0,0,0,0.0048,0.28182,0,3.95075,0,0,0,0.01456,0,0,0,0.01096,0.18547,0.08308,0,0,0.26467,0.27618,0.24863,0.28986,0.00992,0.08882,0,0,0.04644,0.10813,0.00571,0,0,0,0.02475,0.35998,0.00034,0.01198,0,0,0,0,0,0.00068,0.02105,0,0
"Bifidobacterium longum",0,0.2713,0.1963,2.04979,0,0,0,0.13909,0,0.45415,0,0.00809,0,0.09081,0.04886,0.41166,0,5.05576,0.09823,0.27468,0.40081,4.87492,0,0.86087,0,0.54463,1.45344,0.97195,0.04141,0.68305,0.0541,0.02205,0.73356,1.00908,0.25826,0.45355,1.5959,1.8893,1.21327,0.1882,0.36789,0.7155,4.13617,3.63703,0.61879,0.86347,0.07492,0.09355,2.21022,0.72266,1.49772,0,0,0,0.23213,0.00704,0.03647,0,0,0.01301,0,0.11633,0.42339,1.06186,2.4353,1.0089,3.21861,0.52668,0.60989,0.51827,0.14493,0.55471,0.84233,0,0.37666,0,0.32654,1.39806,0.49547,0.75859,2.59453,0.03657,0,0.18637,0.24332,0.14744,0.02419,0.31337,0.62247,0.54814,0,0.04785,0.30319,0.60644,0.4002,0.3371,1.56437,1.69604,1.98051,0.99222,0.79835,0,0,0.39034,0,0.39968,0.98662,0,0.20167,0,0.2961,0,1.45227,0.45313,2.15783,0.77209,0.22582,1.23691,0.81143,0.3638,0.28076,0.23769,0.58305,0.97397,1.24642,0.14489,0.09176,0.04762,0.01418,0.47388,1.44569,0.06229,2.22907,0.12872,0.06148,0.23859,0,1.20723,0.07791,0.26071,0,0.02859,0.00026,1.72934,1.19841,0.62183,1.35244,0.493
"Intestinimonas butyriciproducens",0,0,0,0,0,0.00485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00283,0,0,0,0.00549,0,0,0,0,0,0,0,0,0.00055,0,0.01757,0.01737,0,0,0,0,0,0.01736,0,0,0,0,0.04341,0.04576,0,0.0223,0.01872,0.00851,0.01412,0,0.00735,0,0,0,0,0,0,0,0,0,0,0.00294,0.03629,0,0,0,0,0,0,0,0.07557,0,0,0.04939,0,0,0.07799,0.1561,0.01684,0,0.07092,0.51611,0,0.02625,0,0,0,0.28965,0,0,0,0.02582,0,0,0,0,0.0293,0.09125,0,0,0,0,0,0.00169,0,0.0088,0,0.01153,0.0038,0,0,0.01763,0.02553,0,0.01059,0.04148,0.00754,0.00845,0,0.03601,0,0,0.01237,0.00026,0.06079,0,0.00229
"Eubacteriaceae bacterium CHKCI005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02075,0,0,0,0,0,0.00071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00019,0,0,0,0,0.00193,0.01371,0.01944,0,0,0,0,0,0,0.00161,0,0,0,0,0.00577,0,0,0,0.00287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01069,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00064,0,0,0.00121
