"","CCIS02379307ST-4-0","CCIS06260551ST-3-0","CCIS11015875ST-4-0","CCIS12370844ST-4-0","CCIS12656533ST-4-0","CCIS14449628ST-4-0","CCIS15704761ST-4-0","CCIS17669415ST-4-0","CCIS21278152ST-4-0","CCIS22416007ST-4-0","CCIS22958137ST-20-0","CCIS24254057ST-4-0","CCIS33816588ST-4-0","CCIS34055159ST-4-0","CCIS35100175ST-4-0","CCIS38765456ST-20-0","CCIS40244499ST-3-0","CCIS41222843ST-4-0","CCIS41288781ST-4-0","CCIS41548810ST-4-0","CCIS44757994ST-4-0","CCIS46047672ST-4-0","CCIS46467422ST-4-0","CCIS47284573ST-4-0","CCIS48725289ST-4-0","CCIS50148151ST-4-0","CCIS52370277ST-4-0","CCIS53043478ST-4-0","CCIS53355328ST-4-0","CCIS55230578ST-4-0","CCIS58234805ST-4-0","CCIS59132091ST-4-0","CCIS61287323ST-4-0","CCIS62605362ST-3-0","CCIS62794166ST-4-0","CCIS65479369ST-4-0","CCIS71301801ST-4-0","CCIS72607085ST-4-0","CCIS76845094ST-20-0","CCIS77252613ST-4-0","CCIS78318719ST-4-0","CCIS81887263ST-4-0","CCIS82146115ST-4-0","CCIS83870198ST-4-0","CCIS84543192ST-4-0","CCIS85214191ST-3-0","CCIS87116798ST-4-0","CCIS87167916ST-4-0","CCIS87252800ST-4-0","CCIS87605453ST-4-0","CCIS91228662ST-4-0","CCIS98512455ST-4-0","CCIS98832363ST-4-0"
"Oscillibacter sp. 57_20",0.07593,0,0.32289,0.13502,0,0,0,0.02216,0.42527,0,0.96619,0.61695,0.24724,0,0.4795,0.15484,0,0.04748,0,0.0394,0,0,0,0.17838,0.11396,0,0.03073,0.36007,0,0.05388,0,0.00291,0.23779,0.2398,0,0,0.24506,0,0.07859,0.2224,0.93985,0.33727,0.00477,0.33851,0.57841,0,0.06794,0.36968,0,0.04888,0.2869,1.06426,0.03858
"Ruthenibacterium lactatiformans",0.10393,0.10836,0.40187,2.84839,0.40818,0.61557,0,0.21856,0.01345,0.08227,0.00267,0.2014,0.16483,0.12823,0.02214,0.01386,0.01928,0.19329,3.31904,0.29524,0.57277,0.41086,0,0.28355,0.01521,0.2487,0.34509,0.26246,0.61906,0.28767,1.10145,0.13837,0.03865,0.01645,0.09073,1.16005,0.01471,0.34496,0.00999,0.01511,2.3273,0.01377,0.10984,0.13622,0.00701,0.40518,0.3604,2.85573,0.04936,0.08873,0.21198,3.15647,0.01366
"Bacteroides fragilis",0.73284,0.01395,0.26221,0,1.61981,2.50344,0,0.00498,0,0.17756,0.35734,0,1.52327,0.20688,2.14917,0.4199,2.74718,1.84949,6.17457,0,0.19175,0,3.5447,0.03865,2.0433,5.03711,2.20898,0.0267,0,1.25378,16.29277,0,0.1233,0.02235,0,15.97786,3.5131,0,1.54166,0,0.14288,0.7718,0,0.43106,2.68486,0,0,0.04243,0.1072,0,0.77677,0,0.17356
"Roseburia faecis",1.94206,0.05597,0.08666,0.17025,0.13401,2.58007,0,6.48271,0.81364,0,8.67157,0.00558,0.00915,0.00312,1.0004,0.07108,0.13459,1.18275,5e-04,0.83407,0,0.0136,5.92979,5.93947,3.49086,0,0.46861,5.34596,0.42663,0.53523,0.02922,3.12596,2.15833,12.90043,1.28057,0.00335,0.20727,0.01409,8.77552,6.05987,10.30988,2.10371,1.99755,2.61756,2.82072,0,0.28604,0.07542,0.56955,0.00091,0.55279,0,3.37941
"Bacteroides thetaiotaomicron",1.46243,0.65347,0.1643,2.22168,0.40307,1.53711,0,0.05266,0.09276,1.13281,1.66432,3.86802,0.37823,0.14216,0.63314,0.33356,1.08847,0,0,0,0.59009,0,0,0.49081,1.52912,3.24625,0.57463,0.09773,0.11095,1.09945,0.42504,0.00906,0.15846,0.30989,0.26742,0,0,13.44256,7.23157,1.88326,0.09237,1.48934,0.07545,0.16235,0.11823,5.79353,1.00957,0.02194,2.74649,15.88802,1.3305,4.23047,0.88343
"Gemmiger formicilis",0.288,0.00375,0.16275,0.03339,0.13723,0,0,0.00313,0.12939,0,0.01843,0,0.01097,0.02544,0.07264,0.36517,0.01224,0.19025,0,0.53506,0.02193,0,0,0.01383,0.16408,0.10836,0.07038,0.88039,0.01009,0.38276,0.00943,0.38081,0.10917,0.11589,0.05975,0,0.07134,0,0.47201,0.26373,0.44847,0.12347,0.05635,0.43632,0.12101,0,0.08643,0,0.00587,0.04924,0.03724,0,0.10064
"Bilophila wadsworthia",0.1047,0.03733,0.31491,0,0.08225,0.06721,0,0,0.01829,0,0.27987,0,0.059,0.00191,0.02986,0.01622,0.03592,0.0296,0.12706,0.11199,0.28481,0,0,0.0272,0.00146,0,0.12292,0.02583,0.02658,0.06164,0.07503,0.00562,0.00405,0.03007,0.0299,0.20345,0.21288,0.08967,0.03491,0,0.05112,0.04351,0.0275,0.19167,0.00235,0.00983,0.09636,0.88811,0.27129,0.12099,0.02607,0.07019,0.00467
"Monoglobus pectinilyticus",0,0,0,0,0,0,0,0,0,0,0,0.01217,0,0,0,0,0,0,0,0,0,0.03031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus salivarius",0.01463,0.19399,0,0,0.3242,0.18793,0,6.13056,0.03123,0,0.15805,0.01779,0,0.08481,1.66282,0.03238,0.84531,0.12483,0.13824,0,0,0.11953,0.08263,0.11075,0.04817,0.06188,0.20779,0,0.7212,0.00637,0.45812,0,0.19871,0.00172,0.03227,0.00254,0.00087,0.00215,0.01471,0.1739,0.01206,0.05514,0.45092,0.03588,0.00897,0,0.92249,0,0.00248,0,1.13855,0.41677,0.00715
"Firmicutes bacterium CAG:145",0,0,0.02876,0,0,0,0,0.18006,0,0.39473,0,0,0.03981,0.00684,0,0,0,0.05438,0.44124,0,0,0,0,0.08565,0,0.02718,0.69573,0,0,0.022,0.23402,0.0522,0.01207,0,0.0025,0,0,0,0,0,0.06114,0.00283,0,0.00127,0,0,0.00191,0,0.36633,0,0.03992,0,0.00424
"Roseburia sp. CAG:309",0,0.00356,0,0,0,0,0,0,0.03267,0.06511,0.01596,0,0.01323,0,0,0.09358,0,0.13682,0,0.04051,0,0,0,0,0,0,0,0.04342,0.00301,0,0.00991,0,0,0.09192,0.00375,0,0,0,0,0.01168,0.11741,0.04155,0,0,0,0,0.00795,0,0,0,0.00287,0,0.04251
