"","CCMD11006829ST-21-0","CCMD12232071ST-21-0","CCMD13071240ST-21-0","CCMD13934959ST-21-0","CCMD14479708ST-21-0","CCMD18872694ST-21-0","CCMD19497912ST-21-0","CCMD23101338ST-21-0","CCMD25511638ST-21-0","CCMD25963797ST-21-0","CCMD26709089ST-21-0","CCMD26925580ST-21-0","CCMD34381688ST-21-0","CCMD35802077ST-21-0","CCMD40701343ST-21-0","CCMD42428553ST-21-0","CCMD45988061ST-21-0","CCMD46222674ST-21-0","CCMD46947453ST-21-0","CCMD48236717ST-21-0","CCMD50071957ST-21-0","CCMD51864103ST-21-0","CCMD60079086ST-21-0","CCMD63399960ST-21-0","CCMD64503764ST-21-0","CCMD64776337ST-21-0","CCMD72895164ST-21-0","CCMD74930188ST-21-0","CCMD79987997ST-21-0","CCMD82866709ST-21-0","CCMD86114146ST-21-0","CCMD86707194ST-21-0","CCMD87156761ST-21-0","CCMD88272491ST-21-0","CCMD90311071ST-21-0","CCMD93344354ST-21-0","CCMD95433940ST-21-0","CCMD96553385ST-21-0","CCMD19168690ST-11-0","CCMD21593359ST-11-0","CCMD21703880ST-11-0","CCMD27463710ST-11-0","CCMD35633353ST-11-0","CCMD42956136ST-11-0","CCMD49461418ST-11-0","CCMD52117727ST-11-0","CCMD52145360ST-11-0","CCMD59583015ST-11-0","CCMD65222621ST-11-0","CCMD65406197ST-11-0","CCMD71242853ST-11-0","CCMD71915439ST-11-0","CCMD72690923ST-11-0","CCMD76222476ST-11-0","CCMD79349503ST-11-0","CCMD89306485ST-11-0","CCMD92404903ST-11-0","CCMD95431029ST-11-0","CCMD95676152ST-11-0","CCMD98531134ST-11-0"
"Bifidobacterium adolescentis",0.02758,0,0,0.56107,0,0.77844,1.19429,0.38581,0,0,0,3.36506,0,4.9388,0.0086,1.83544,4.31433,7.84831,3.97982,1.23767,1.41369,4.24631,0,1.17238,0,0.00882,0,0,0,3.32806,13.09342,1.34648,0.75278,0.0092,0.01173,0,1.18274,0.00622,0,0.06985,0.39287,0.13012,1.71892,0,0,0,0,6.57091,3.50664,0,2.96763,1.95247,0,2.50795,0,6.50048,0,0.03258,15.44909,7.50735
"Eubacterium sp. CAG:38",0,0.27253,0,0,0,2.42258,0.01234,0.68937,0,0,0,2.99326,0,0,0,0.38165,0.12227,0.38338,1.11481,0,0.09306,0.42411,0,0.9904,0,0.03013,0.02712,0,0,0.57709,0.10207,0.8881,0.2514,0.0014,0.20286,0,4.87375,0.00308,0,0,0,0.07195,0.11113,0,0.41189,1.00633,0.58289,0.46993,0.3797,0.06298,2.28212,0.00659,0.08596,0.234,0.01304,0.45879,0.01094,0.21645,0.01059,0
"Alistipes finegoldii",1.64138,0.46706,10.73205,0.00357,0.24933,0.07261,0.00831,0.03016,0.00111,0.2516,3.75884,0.00663,0.68115,0.51576,0,0.18262,0.89693,0.16585,1.78625,0.00436,0.09664,0.00109,0.29608,0.15536,0.48824,13.31137,0.78966,0.05919,0,0.64019,0.00883,0.01334,0.98703,1.60304,3.77475,0.04905,3.10044,0.02985,0.02316,0.22936,0.00323,0.644,1.46332,0,0.07163,1.14408,0.18111,0.06054,0.64265,2.32427,4.1546,13.67519,0.00548,0.02774,0.71932,0.02885,0.61716,0.79666,1.57312,0.06631
"Bacteroides stercoris",4.75499,0,0,0,0.00048,3.88633,3.69562,1.52886,0,4.22032,0,0.0101,0,2.62013,2.50778,0,0.52586,0,0,0.46718,5.10094,0,2.18107,1.81723,0,0,0,1.80163,6.64013,2.12915,2.1945,7.94068,0.00687,0.00992,12.06087,0,0.02337,0.01704,0,0.93333,0,1.84249,0.08505,0.00254,0.97369,0,0,0,0,0,0,0,0.05825,0.90732,0.40352,0.34062,0.00146,0,0,0.00135
"Ruminococcus bromii",0.05232,9.22641,0,9.91484,4.04273,1.43959,7.00074,5.95618,16.95503,6.12252,0,2.99974,0,5.51647,0.01685,0,3.23472,4.38006,8.86453,3.67109,0.91697,0,3.36301,2.86177,3.09159,11.42383,0,0.00837,0,0.08291,6.74934,0.5145,0.02475,0.02018,0.01887,1.04223,1.56307,0.05824,0,0.15717,0,4.69905,5.66473,0,1.97271,2.43748,7.53246,5.29157,0.19917,11.06325,1.4213,2.50668,1.00544,0.00812,0,0.05246,0.0141,0.94732,1.22904,20.13311
"Bacteroides faecis CAG:32",0,0,0,0,0,0.21029,0,0,0,0,0,0,0,0,0,0,0,0,0.01005,0,0,0,0,0.31355,0,0,0,0,0,0,0,0,0.31528,0,0,0,0,0,0,0,0.21372,0,0,0,0,0,0,0,1.32565,0,0,0,0,0,0,0,0,0,0,0
"Parabacteroides merdae",0.01196,0,0.22552,1.14279,0.53794,0.37731,0.01955,0.31932,2.82393,0.19268,0,1.12728,0,0.29165,5.79052,2.49106,2.06689,2.08548,1.40025,0.70662,3.2887,0,5.33514,0.63675,3.58193,0.00101,0,0.95588,0,3.49762,0.00056,2.12802,1.46628,5.53574,3.66537,1.94501,0.00484,0.00237,0,0,0.22147,1.17464,0.00577,0,1.16637,0.00028,0.48511,0,0.69123,0,0.74933,1.09853,0.03412,1.81714,1.35441,0.01092,3.08089,0.61334,0,0
"Bifidobacterium longum",2.74652,4.08752,0.08287,0.47008,0.9477,0.35317,0.14506,0.38047,2.46405,0,0,1.58529,0.01039,0.45667,0.00287,0.08171,0.00047,0.69142,1.25422,0.53384,1.84638,2.36399,0,0.59533,0,0.28975,0.07293,1.29655,0,1.36429,0.72684,0.29515,0.25513,0.00119,0.58863,0.97694,1.00206,0.00676,0,0.06588,0.29973,0.145,0.21504,3.34161,3.17828,0,0.01244,1.7369,1.1195,5.0827,0.34627,1.61338,2.3214,0.37241,1.30834,0.58407,1.03879,0.00201,1.24449,1.47983
"Bacteroides faecis",0,0.85433,0,0,0,0.28613,0.0185,0.06868,0,0,0,0,0.02383,0,0,0,0,0,0.00936,0.12335,0,0,0,0.12532,0,0,4.14544,0,0,0,0,0,0.24392,0,0,0,0,0,0,0,0.405,0,0,0,0,0,0,0,1.56367,0,0,0,0,0,0,0,0,0,0,0
"Odoribacter splanchnicus",1.02937,0.51488,0.51843,0.45977,0.26977,0.67742,0.90376,0.1251,0.45292,0.17354,0,0,0.44608,0.29404,0,0.55263,0.42517,0.4809,0.66859,0,1.09345,0,1.25756,0.72995,1.05104,0.90167,0.55566,0.16092,0,0.90176,1.70351,0.43989,0.60681,0,0.69738,0.35992,0.93951,0,0,0.7007,1.25607,1.08872,0.41026,0,0.01551,0.81337,1.19213,0.0552,0,0.41612,0.65445,0.23452,0.14603,0.26254,0.25563,0.05512,0.89059,0.26785,0.46835,0.701
"Lachnospira eligens",0.01501,2.42008,1.98594,3.13714,1.65613,0.92198,5.61061,1.20934,0,5.33666,1.3707,0.01028,2.61401,0.83787,0,3.58551,1.50225,1.3627,0.01135,0.61719,0.38999,1.61075,0,1.91298,0,0.18662,1.52038,0.46745,0,1.0156,1.90182,4.99406,1.67931,0.0086,2.44773,0,7.2371,0.00626,0,0.00327,0.01811,2.05322,13.73603,1.36146,0.18896,0,1.86274,0.3366,0.36852,1.45282,0,0.7235,0.01955,0.0153,9.47175,1.03373,0.0011,1.41195,0.27058,0.0051
"Dorea longicatena",3.33224,0.95276,3.00652,0.43691,0,1.29426,0.47881,2.96085,0.89216,3.6062,0,0.13255,1.75959,1.34015,1.42992,1.03549,0.85541,1.22808,0.80649,1.18767,0.26565,1.27813,0,0.64482,0.87805,1.28249,0.36828,0.86703,0.60592,0.2258,0.50768,0.97943,0.74193,0.00299,0.70561,0.22398,0.21834,0.17839,0.39038,2.05698,0.06351,2.2898,1.04528,0.52159,2.83943,0,0.58029,1.77132,0.22294,0.10104,0.27472,0.28879,0.05023,1.23276,0.23123,0.54585,0.00164,0.34397,0.14799,0.00596
"Oscillibacter sp. 57_20",0.10767,0,0.0226,0,0,0.50675,0,0.22192,0,0,0,0.26152,0.9723,1.38728,0,1.74257,0.5752,0.44406,0.82147,0.00048,0.75022,0.22055,0.20067,0.28719,0.80491,0.08582,1.97484,0.15712,0,0.03955,0.00855,0.00313,0.49562,0,0.02626,0,0.12603,0.00078,0,0.20808,0.03105,0.06765,0.94706,0.01478,0,0.21711,0.24703,0.19637,0,0.00646,0.54082,0.02568,1.72018,0.19162,0.60068,3.29602,0,1.57485,0.76685,0
"Dialister invisus",0.24248,0,0.07288,0,0.55869,0,3.43345,0.00663,0,0,3.77699,0.06342,1.3273,0.00125,0.14527,0,1.03643,0,0.02929,0,0.05912,0.8735,0,0,0,0,0.69119,0.03411,0,0.08644,0,9e-04,2.56452,0,0,0.81298,0.00368,0.00811,0.00764,0.01344,0,0,0,0,0,0.06025,0,0.02865,0,0.11298,0,0.09886,0,0,0,0,0,0,0,0
"Dorea formicigenerans",0.03329,0.55049,0.90043,0.27378,0.0451,0.29794,0.29397,0.36887,0.14596,2.20554,0.90689,0.21947,1.26474,1.14535,0.93854,0.577,0.88682,0.71403,0.59372,1.00512,0.22162,0.52618,1.17109,0.13689,0.18724,0.38283,0.32514,0.54373,0,0.41034,0.08816,0.47662,0.49403,0.31117,0.28216,0.15055,0.3637,0.46254,0.57545,0.48751,0.08756,0.18681,0.38467,1.27832,0.42155,0,0.1914,0.50748,0.38899,0.23861,0.14345,0.32563,0.07337,0.86052,0.36358,0.16716,0,0.12142,0.08638,0.04423
"Ligilactobacillus ruminis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium bifidum",0,0,0,0.00952,0,0,0,0.0108,0,0,0,0.09712,0,0,0,0,0,0.17942,0,0,0.09942,0.48803,0,0.05891,0,0,0,0,0,0,0,0.17961,0,0,0,0,0.46426,0,0,0,0,0,0,0,0,0,0,1.00207,0,0,0,0,0,0.39345,0.41639,0,0,0,2.49497,0.12871
"Phocaeicola massiliensis",0,0,0,0.279,0.15675,1.2119,0,0,0,0.20327,0,0,0,0,0.00185,1.17294,0.09595,0.8769,0.00798,0,4.7162,0,0,1.26855,0,0,0,0.15453,0,0,0,0,0,0,0,0,2.90708,0,0,0,0.35453,0,0,0,0,0,0,0,1.14915,0,0.64034,0,0.0341,0.75319,0,0,0,0,0,0
"Coprococcus comes",0.02092,0.60837,1.66066,0.85553,1.18577,0.4247,0.57195,1.17631,0.2199,0.7541,0,0.15318,1.89928,3.06495,0.6262,2.50365,0.29166,1.32578,0.89377,0.42087,1.01631,1.85053,0,1.79188,0,0.42299,0.44002,1.38265,0.89772,1.46439,0.58988,0.66283,0.75887,0,0.64087,0.75663,0.2627,0.51441,0.81618,1.01923,0.08932,0.54658,0.96177,0,3.54696,3.27408,0.48521,1.72953,0.96784,1.86796,0,0.41561,1.25274,0.8421,1.03318,0.18571,0.00711,0.54021,0.09333,0.93343
"Agathobaculum butyriciproducens",0.106,0.00271,0.57402,0.19242,0.41775,0.11014,0.08637,0.24722,0.04012,0.00574,0.38409,0.11623,0.40168,0.78842,0,0.27504,0.17263,0.19802,0.13016,0.17834,0.23814,0.34421,0.61377,0.18666,0.16057,0.13789,0.27333,0.33504,0.10072,0.15005,0.04488,0.34656,0.24876,0.22676,0.15974,0.34183,0.28872,0.261,0.45887,0.31863,0,0.15586,0.02855,0.5074,0.83892,0.12076,0.16106,0.09384,0.51228,0.2088,0.52814,0.06242,0.23706,0.57893,0,1.18678,0,0.38593,0.35485,0.22695
"Eubacterium ramulus",0.00318,0.29964,1.52526,0,0,0.02032,0.54439,0.37785,0.11923,0.18394,0.13006,0.03294,0.75363,0.66489,0,0.85511,0.18034,0.1026,0.11398,0.26346,0.12989,0,0,0.45032,0,0.23773,0.33565,0.29283,0.09856,0.08757,0.05347,0.36561,0.07294,0,0.15696,0.14708,0.4095,0.55924,0.62089,0.11704,0.03029,0.08268,0.14486,0,0.50272,0,0.133,0.2764,0.05391,0,0.54196,0.18321,0,0.34385,0.19204,0.02145,0,0.04648,0.00408,0
"Gemmiger formicilis",0.16594,0.10677,0.04675,0.08434,0.00292,0.68275,0,0.15643,0.0112,0,0.0932,0.12574,0.18998,0.22526,0,0.077,0.23697,0.02735,0.56928,0.09427,0.36042,0.77711,0.2991,0.0208,0,0.17074,0.13344,0.00747,0.00364,0.16265,0.19364,0.00719,0.15273,0,0.17376,0.39498,0.32089,0.41848,1.19363,0.0404,0.00868,0.05905,0.31961,0,1.29546,0,0.14928,0.27889,0.00481,0.21693,0,0.00408,1.36498,0.34328,0.37833,0.33396,0.0018,0.03697,0.37057,0.12398
"Roseburia hominis",0.79648,1.65849,0.00091,0.04156,0,0.51218,0,0.70763,0.07776,0.2923,0.01511,0.18704,2.36726,0.34564,0,0.4745,0.00193,0.26601,0.13435,0.0191,0.59372,1.54391,0,0.11928,0,0.11308,1.81634,0.00936,0.026,0.02738,0.00199,0.0626,0.13633,0,0.64873,0,0.12126,0.00516,0,0.07417,0.20865,0.10618,0.29537,0,0.01672,0,0.02271,0.01167,0.87172,0,0.06157,0.0375,3.04666,0,0.02522,0.337,0,0.03282,0.56635,0.0315
"Blautia obeum",2.01104,0.12531,0.53917,0.5256,0.75238,0.79427,3.43185,0.25901,0.08233,3.68636,0.0919,0.01621,0.36415,0.13071,0.33969,1.79258,0.45184,0.0747,3.37103,0.03316,0.00588,0.06085,0.06364,0.76054,0.01893,1.12209,0.10694,0.04594,0.02181,0.48533,0.87334,0.27771,0.07428,0.22824,0.74206,0.26395,0.10164,0.15029,0.23479,0.37179,0.62254,0.88804,0.5999,0.01497,0.92891,0.315,2.14237,0.24073,0.6169,3.68318,0.04497,0.79643,0,0.10312,0.0839,0.06679,0.08157,0.03888,0.10721,1.0595
"Barnesiella intestinihominis",0,0,1.28431,0,2.66015,1.05198,0.36518,0,6.63053,1.66291,0,2.32611,0.50621,0,0,1.27946,5.05132,0.39614,1.74399,0.22652,2.78654,0,0,0.22884,0,1.31683,2.13945,0.02507,0,4.41686,0.19543,0,0.72288,0.00541,4.79569,2.3399,3.12083,0,0,0.43693,2.53909,7.72607,0.17233,0,0.49211,0,2.65516,0.41382,3.49371,2.38392,0,0,0.11063,0.37822,0.69812,0,0.00339,0.4826,0.40145,2.38133
"Bacteroides eggerthii",0.01159,0,6.36761,0.29103,0,0,1.98723,0.00904,0,0,0.00024,0.01215,0.00173,1.13338,0.00266,0.85128,0.03644,0.10457,0,0.00225,1.99332,0,0,4.25985,0,0,0.00995,6.53539,0,0.00047,0,0.00288,0.00386,0,0,9.57926,0,30.72798,32.62273,0.95959,0,0,0,0.00086,0,0,0,0,0.00144,8.48032,0,0,0,0.09558,3.63725,0.35242,3.43535,1.16097,0,0
"Lactococcus lactis",0.0394,0,0,0,0.00403,0.00657,0.10693,0.00072,0.0108,0,0,0,0,0,0.01537,0.18201,0.09818,0,0,0,0,0,0,0.07595,0.00628,0,0.06347,0.00611,0.03616,0,0.00335,0.03616,0.01177,0,0.01067,0.0021,0.00253,0.02949,0.077,0,0,0,0,0.42954,0,0,0,0.0015,0,0,0,0.00042,0,0.02341,0,0,0,0,0,0.06497
"Eubacterium sp. CAG:251",0.00067,0,0,0,0,0,0,0,0,0,0,0,2.3133,0,0,0,0,0,0.54317,0.00624,0,0,0,0.07146,0,0,0,0,0,0.33282,0,0,1.42413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34086,0,0,0,0,0,0,0,0,0.8017,0,0
"Adlercreutzia equolifaciens",0.02018,0.20247,0.45312,0.07938,0.00521,0,0.01891,0.00037,0.09135,0.99479,0,0.01162,0,0.05295,0,0.02884,0.14053,0,0.05193,0.03219,0.02596,0.1374,0.24285,0.21134,0.00257,0.12479,0.03231,0.01259,0,0.05327,0,0.03054,0.09956,0.07636,0.34078,0.11817,0.15996,0.09834,0.37586,0.0032,0,0.16552,0.00715,0,0.27671,0.12802,0.23114,0.24194,0.17233,0.22214,0.04774,0.01872,0,0,0.14792,0.00448,0,1.80918,0.43228,0.11786
"Anaerobutyricum hallii",0.68479,0.38835,0.5385,0.28774,0.04061,0.17545,0.02576,0.15845,1.01876,1.20243,0.12174,0.32054,0.29105,0.38746,0.00156,0.90494,0.11142,0.33482,0.70376,0.47448,0.02886,0.38907,0,0.07708,0.57257,0.62734,0.06369,0.14554,0.12918,0.27029,0.09857,0.1803,0.115,0.12791,0.13008,0.28512,0.79558,0.05948,0.09878,0.04964,0.66821,0.19678,0.58564,0,1.10691,0.74362,0.19541,0.71096,0.17035,0.0705,0.10148,0.19235,0.00243,0.28401,0.07215,0.0206,0.00055,0.16634,0.02335,0.23108
"Coprococcus catus",0.35646,0.01218,0,0.35815,0.20898,0.14928,0.60869,0.2689,0.00397,0.2587,0.07257,0.32138,0.5761,0.36754,0,0.07431,0.758,0.31233,0.14002,0.02952,0.08452,0.32456,0.3261,0.18578,0,1.1674,0.40612,0.22144,0.17072,0.37272,0.5689,0.01544,0.32126,0.22158,0.1526,0.00657,0,0.2417,0.30731,0.44676,0.48563,0.23671,0.44062,0.08183,0.38264,0.08678,0.14497,0.17225,0,0.57682,0.01269,0.12505,0.03817,0.02895,0.57754,0.07993,0,0.0913,0.06598,0.29972
"Eubacterium sp. CAG:274",0.00302,0,0,0,0.02266,0,0,0,0,0,0,0.11212,0,0.82768,0,0.05136,0,0.05033,0.0911,0,0,0,0,0,0.33638,0.03703,0,0,0,0,0.0414,0.72366,0,0,0,0,0.21362,0,0,0,0,0,1.16438,0.00576,0.06671,0,0,0.20903,0,0,1.29164,0,0,2.45686,0,0.00528,0,0,0,0
"Streptococcus thermophilus",0.79911,0.11128,0,0.28368,0.01961,0.58486,0.06022,0.65012,0.0191,0.00751,0.0448,0,0,0.63191,0.09817,0.02966,0,0.01309,0.00635,0.0019,0.01114,0.00929,0.6409,0.29951,0.00606,0,0.10886,0,0.06722,0,0.05685,0.26959,0.52513,0.04464,0.00252,0,0.07183,0.21383,0.2764,0.01105,0,0.01029,0.10743,1.82476,0.00429,0.0249,0.00356,0.56927,0.00867,0.02461,0.03939,0.0312,0.00619,0,1.05979,0,0,0.02607,0,0
"Ruminococcus bicirculans",1.37769,1.88122,1.62029,0.42941,0,0,0,0.64857,11.6788,0,0,9.15361,0.16694,0.00025,0,3.92022,0.00663,0.32191,2.82403,0.59673,1.5651,1.1657,6.60938,3.66296,3.68686,3.48417,4.33772,0,0,0.02932,1.58122,0.8458,1.33119,0.01516,1.79613,12.82934,3.94649,0.00412,0,0.04332,0,1.17325,0.12868,0,0.00334,0,6.00802,0.00161,4.0859,1.15332,0,0.45957,0.12664,0,0,0,0.00304,1.95462,0.12583,4.2648
"Butyricimonas virosa",0.00237,0,1.13476,0,0.38487,0.19116,0.00126,0.08345,0,0.04865,0,0.28312,0,0.02779,0,0.43773,0.87804,0,0,0,0.00519,0.80638,0.04345,0.05457,1.65241,0,0.01049,0.03353,0,0.14004,0.7226,0.05514,0.02894,0,0.03305,0.14672,0,0,0,0.01127,1.21386,1.05773,0.01459,0,0,0.77982,0.16989,0,0.69785,0,0.00172,0.45036,0.01784,0.00569,0.09987,0.01084,0,0.07171,0.12773,0.73671
"Bacteroides ovatus",0.06511,0.04624,0.02338,0.09242,1.5736,0.02289,0,0.05938,1.08627,0.03711,3.57339,0.53881,0.17663,0.27609,3.38041,0.05097,0.37203,0.62209,2.10685,0.28605,0.44003,0.18993,0.43267,0.01987,2.2477,0.1589,0,0.46719,0,0.27509,0.01047,0.00644,0.1221,1.0264,0.04576,0.02375,0.16863,0,0,2.08457,0.71921,0.00452,0.03133,0,0.09284,0.85595,0.08625,1.14848,0.00522,0.11412,0.01237,0.67957,0,0,0,0.00274,0.48792,0.21077,0.05346,0.60444
"Flavonifractor plautii",2.49298,0.32948,0.80014,0.24532,0.08024,0.00101,0.02029,0.02539,0.25729,0.01544,0.38858,0.02272,0.29176,0.19272,1.12818,0.10095,0.35361,0.01794,0.02646,0.09175,0.04654,0.41394,0.4129,0.14866,0.72393,0.02633,0.13676,0.03478,0.09779,0.03684,0,0.06065,0.0129,2.47023,0.08163,0.03086,0.16864,0.10701,0.10793,0.19322,0,0.00308,0.0086,0.1059,0.024,0.42656,0.03911,0.02655,0.0127,0.64419,0.06148,0.0788,0.02876,0.26527,0.00664,0,1.34174,0.53664,0.16124,0.08588
